submission_pk,User,CIDEr,Bleu-1,Bleu-2,Bleu-3,Bleu-4,METEOR,ROUGE-L
502349,forence,0.824 (1),0.835 (1),0.687 (1),0.542 (1),0.409 (1),0.264 (1),0.542 (1),
502587,cszhe,0.734 (2),0.819 (2),0.665 (2),0.521 (2),0.391 (2),0.258 (2),0.533 (2),
502415,pp3,0.700 (3),0.808 (4),0.654 (3),0.511 (3),0.384 (3),0.245 (4),0.521 (3),
502418,sxchen,0.650 (4),0.788 (6),0.633 (4),0.496 (4),0.375 (4),0.249 (3),0.520 (4),
502324,SRC-B,0.554 (5),0.809 (3),0.622 (5),0.473 (5),0.348 (5),0.226 (6),0.498 (5),
501982,DJCan,0.536 (6),0.733 (9),0.557 (10),0.407 (12),0.287 (13),0.219 (8),0.475 (11),
515569,QiDian,0.497 (7),0.746 (7),0.575 (6),0.437 (6),0.321 (6),0.222 (7),0.489 (6),
495937,anyeshine,0.492 (8),0.738 (8),0.566 (8),0.427 (7),0.312 (7),0.227 (5),0.486 (7),
532378,wszpp,0.463 (9),0.789 (5),0.573 (7),0.412 (10),0.288 (12),0.216 (11),0.479 (8),
513575,ybCliff,0.460 (10),0.731 (10),0.558 (9),0.423 (8),0.311 (8),0.217 (9),0.477 (10),
501227,ozancaglayan,0.452 (11),0.713 (14),0.534 (13),0.399 (13),0.290 (11),0.211 (14),0.467 (14),
490575,cyril1994,0.451 (12),0.713 (13),0.533 (14),0.396 (14),0.285 (14),0.216 (12),0.470 (13),
516690,fighting,0.445 (13),0.730 (11),0.556 (11),0.418 (9),0.304 (9),0.215 (13),0.479 (9),
501534,lyr123,0.439 (14),0.723 (12),0.548 (12),0.411 (11),0.299 (10),0.211 (15),0.471 (12),
502279,lzzzzzk,0.434 (15),0.687 (16),0.507 (16),0.372 (16),0.266 (16),0.217 (10),0.458 (16),
578701,jpnomvst,0.423 (16),0.699 (15),0.517 (15),0.380 (15),0.272 (15),0.210 (16),0.460 (15),
502611,youj,0.262 (17),0.658 (17),0.455 (17),0.315 (17),0.210 (17),0.183 (18),0.424 (18),
502380,icp,0.248 (18),0.649 (18),0.447 (18),0.308 (18),0.204 (18),0.186 (17),0.425 (17),
502451,Nayoung,0.229 (19),0.623 (19),0.416 (19),0.279 (19),0.181 (19),0.181 (19),0.409 (19),
509418,mazicwong,0.000 (20),0.000 (20),0.000 (20),0.000 (20),0.000 (20),0.000 (20),0.000 (20),
