submission_pk,User,Top-1 Accuracy (%),Top-1 Accuracy (%),Top-1 Accuracy (%),Top-5 Accuracy (%),Top-5 Accuracy (%),Top-5 Accuracy (%),Precision (%),Precision (%),Precision (%),Recall (%),Recall (%),Recall (%)
,Verb,Noun,Action,Verb,Noun,Action,Verb,Noun,Action,Verb,Noun,Action
624883,wasun,42.57 (1),63.55 (2),24.94 (4),26.93 (2),,,,,,,,,,,,,
625243,action_banks,41.59 (2),64.11 (1),25.37 (2),26.98 (1),,,,,,,,,,,,,
625339,Sudhakaran,40.00 (3),60.23 (4),21.82 (7),24.34 (5),,,,,,,,,,,,,
624248,tnet,40.00 (3),60.53 (3),24.95 (3),25.27 (3),,,,,,,,,,,,,
736788,lyttonhao,38.93 (4),58.08 (7),25.72 (1),24.71 (4),,,,,,,,,,,,,
541084,aptx4869lm,38.75 (5),58.99 (5),23.70 (6),23.92 (6),,,,,,,,,,,,,
624890,weiyaowang,37.12 (6),56.21 (10),20.97 (8),21.48 (9),,,,,,,,,,,,,
482231,TBN_Ensemble,36.66 (7),58.62 (6),24.01 (5),22.92 (7),,,,,,,,,,,,,
732268,zylin_cuhk,35.49 (8),57.65 (8),18.68 (13),19.62 (10),,,,,,,,,,,,,
623720,cvg_uni_bonn,34.53 (9),56.73 (9),19.21 (11),21.80 (8),,,,,,,,,,,,,
482053,antoninofurnari,33.06 (10),55.32 (11),18.91 (12),19.12 (13),,,,,,,,,,,,,
827908,Wenda,31.54 (11),52.62 (12),20.67 (9),19.33 (12),,,,,,,,,,,,,
591570,EPIC_TSM_FUSION,29.90 (12),49.81 (13),18.38 (14),15.80 (18),,,,,,,,,,,,,
625400,SeungBumHong,29.84 (13),46.30 (20),20.39 (10),19.39 (11),,,,,,,,,,,,,
591572,EPIC_MTRN_FUSION,29.41 (14),48.91 (16),16.75 (17),14.46 (22),,,,,,,,,,,,,
565576,plnet,28.69 (15),43.06 (27),13.62 (26),15.05 (21),,,,,,,,,,,,,
675701,BonnTME,28.54 (16),47.97 (17),17.10 (16),16.54 (15),,,,,,,,,,,,,
