submission_pk,User,PSNR,SSIM,Runtime per image [s],CPU [1] / GPU [0],Extra Data [1] / No Extra Data [0]
441460,wanglichen,13.80 (34),0.74 (23),19.00 (11),0.00 (2),1.00 (1),
442816,TMAC,15.71 (20),0.77 (13),1.30 (26),0.00 (2),1.00 (1),
439029,Pranoy,15.37 (24),0.77 (12),22.86 (7),1.00 (1),1.00 (1),
444415,du757372199,14.69 (28),0.72 (27),1.00 (28),0.00 (2),1.00 (1),
440085,dengwei,14.33 (29),0.71 (30),0.80 (30),0.00 (2),1.00 (1),
443441,CalebChen,15.68 (21),0.75 (19),30.00 (6),1.00 (1),1.00 (1),
440395,bchanda,16.65 (14),0.74 (24),20.06 (9),1.00 (1),1.00 (1),
445244,ranjanisi,19.27 (6),0.73 (25),20.06 (9),1.00 (1),1.00 (1),
445500,Tia,16.53 (15),0.76 (17),0.97 (29),0.00 (2),1.00 (1),
445637,fks,20.07 (4),0.85 (1),8.44 (15),0.00 (2),1.00 (1),
445654,ecsuiplab,19.61 (5),0.74 (22),8.40 (16),1.00 (1),1.00 (1),
438257,cosmin.ancuti,12.85 (36),0.67 (35),20.89 (8),1.00 (1),0.00 (2),
443241,arber,17.46 (12),0.82 (8),5.20 (17),1.00 (1),0.00 (2),
444278,Steven911,16.17 (17),0.76 (16),2.02 (23),0.00 (2),0.00 (2),
444599,rutgerssprinter,20.41 (1),0.85 (3),1.85 (25),0.00 (2),0.00 (2),
445085,zhaoruhao,20.13 (2),0.85 (2),9.68 (13),0.00 (2),0.00 (2),
443440,sehwan,20.11 (3),0.84 (5),2.00 (24),0.00 (2),0.00 (2),
443453,liujl09,19.06 (7),0.84 (4),5.20 (17),1.00 (1),0.00 (2),
443644,Phineas813,13.82 (32),0.70 (32),2.77 (20),0.00 (2),0.00 (2),
442091,iim_lab,15.48 (22),0.76 (15),1.04 (27),0.00 (2),0.00 (2),
439602,blackAI,15.73 (19),0.74 (21),0.50 (31),0.00 (2),0.00 (2),
441032,agaldran,16.37 (16),0.75 (20),43.97 (5),1.00 (1),0.00 (2),
439864,yulunzhang,13.82 (31),0.64 (36),2.89 (19),1.00 (1),0.00 (2),
444622,hengelpao,17.18 (13),0.78 (10),57.53 (4),1.00 (1),0.00 (2),
445101,AnilGenc,18.03 (10),0.80 (9),2.10 (22),0.00 (2),0.00 (2),
444610,jl-liu13,18.93 (9),0.83 (7),5.20 (17),1.00 (1),0.00 (2),
444853,MKFMIKU,15.44 (23),0.75 (18),1.00 (28),0.00 (2),0.00 (2),
444997,san_santra,15.32 (25),0.72 (26),120.04 (3),1.00 (1),0.00 (2),
443335,weideng,16.11 (18),0.71 (29),1.00 (28),1.00 (1),0.00 (2),
445514,phunghx,14.13 (30),0.67 (34),13.13 (12),0.00 (2),0.00 (2),
444838,hjsim,17.91 (11),0.78 (11),5.00 (18),0.00 (2),0.00 (2),
445060,DemirAdil,15.18 (27),0.72 (28),20.00 (10),1.00 (1),0.00 (2),
445544,YuXiaoli,13.82 (33),0.69 (33),432.28 (2),0.00 (2),0.00 (2),
445573,xprof,19.03 (8),0.83 (6),5.20 (17),1.00 (1),0.00 (2),
445599,ErinChen,12.19 (37),0.59 (37),1796.65 (1),0.00 (2),0.00 (2),
445603,xdhm,15.18 (26),0.77 (14),9.16 (14),0.00 (2),0.00 (2),
445615,QH,13.78 (35),0.70 (31),2.30 (21),0.00 (2),0.00 (2),
