submission_pk,User,Accuracy
865800,Artem_Vazhentsev,94.7080 (1),
888457,Daniil_Moskovskiy,94.4960 (2),
889023,ekovtun,93.0600 (3),
888076,eplumite,92.9440 (4),
887978,player42,92.3160 (5),
888260,dkorzh10,90.9400 (6),
887534,palette_knife25,90.8920 (7),
887491,Glebzok,90.8160 (8),
887483,eugeneavd,88.7400 (9),
886188,annakey,87.6560 (10),
887987,daleshch,86.3560 (11),
888019,truepg,85.7040 (12),
867606,andreead,85.6280 (13),
888122,queen_s0,82.5680 (14),
889120,matveymor,80.8000 (15),
867471,timotei.ardelean,80.7320 (16),
866775,ruslan_alive,79.0680 (17),
865797,NEEEK,76.8360 (18),
889102,A_a,73.2480 (19),
888142,Filitov-Mikhail,66.9040 (20),
866734,vvshu,49.8560 (21),
867421,lilaspourpre,49.4840 (22),
852598,dementyeva_ds,49.4840 (22),
