submission_pk,User,score
528195,kodenii,0.81221 (1),
528145,mhlwsk,0.80400 (2),
528031,YSChengzi,0.79125 (3),
526926,RaymondLee,0.78150 (4),
528096,shijiyuanaa,0.78056 (5),
527690,fets,0.78004 (6),
528640,BigTomato,0.77917 (7),
527658,rmhsiao,0.75651 (8),
527195,fannaidan,0.75411 (9),
528236,SOTA,0.74306 (10),
526371,clearlove7,0.74281 (11),
528103,hit_1172510217,0.72105 (12),
527762,silverbullet111,0.71276 (13),
527784,PINKG,0.71141 (14),
528283,xuhongqing,0.71124 (15),
527754,calcium,0.71023 (16),
528231,chenzhongan,0.66415 (17),
527633,SunYunLong,0.61949 (18),
