submission_pk,User,< Rank >,MCC,F1 ERR,F1 NOT,F1 Mult,Disk Footprint (Bytes),Model Params
941118,HW-TSC,3.50 (2),0.3184 (1),0.9366 (5),0.3784 (1),- (7),2239747529.0 (3),560365209.0 (4),
940654,gjiang,2.50 (1),0.3140 (2),0.9557 (1),0.3360 (4),0.3211 (1),2239769453.0 (4),559893506.0 (3),
940943,Jason_pogba,3.67 (3),0.2784 (3),0.9364 (6),0.3409 (2),0.3192 (2),2213468431.0 (2),564554219.0 (7),
940723,silence1024,3.50 (2),0.2774 (4),0.9400 (4),0.3373 (3),0.3171 (3),2239747529.0 (3),560365209.0 (4),
936966,joanne.wjy,5.17 (6),0.2601 (5),0.9525 (2),0.2880 (6),0.2743 (5),2244034844.0 (7),560982532.0 (6),
940919,Raphael_NICT,5.00 (5),0.2523 (6),0.9294 (8),0.3191 (5),0.2966 (4),2239774281.0 (5),559892482.0 (2),
952580,kw,6.50 (7),0.2139 (7),0.9303 (7),0.2825 (7),- (7),2244030744.0 (6),560981507.0 (5),
940592,fblain,4.50 (4),0.2139 (8),0.9505 (3),0.2439 (8),0.2318 (6),1114634523.0 (1),278635778.0 (1),
