submission_pk,User,MAE
509846,whitehair,2346.1862 (1),
509263,ANTONBIRYUKOV2019,2518.8192 (2),
509032,VOLODYMYRVRAGOV2019,3008.9799 (3),
510236,rojay16,4995.7392 (4),
508574,bensalekue2019,10887.8531 (5),
510420,STANLEYKAKANATTILUE2019,12696.4950 (6),
