submission_pk,User,"Prediction consistency (CVGTCE), %","Standard error (GTE), %"
262671,psxab5,3.4767 (1),4.5623 (1),
264671,zhao.823,3.9700 (2),5.8835 (2),
264551,rpiisl,4.9488 (3),6.2071 (3),
262462,trigeorgis,5.4595 (4),7.6403 (4),
265631,olgabellon,5.9093 (5),10.8001 (5),
265041,joel-moniz,6.0654 (6),26.7249 (8),
263651,flx,7.2419 (7),14.7383 (7),
265511,hxp,9.9103 (8),14.4791 (6),
