submission_pk,User,FinalNDCG (weighted average),SearchNDCG (query-full; textual queries),CategoryNDCG (query-less; category facets)
339771,minerva,0.4262 (1),0.5574 (1),0.3935 (1),
432131,tianmecai,0.2907 (11),0.5360 (2),0.2293 (11),
340351,Dmitrii_Nikitko,0.4149 (2),0.5301 (3),0.3861 (3),
339802,joaopalotti,0.3712 (6),0.4860 (4),0.3425 (7),
353811,tjy,0.4056 (3),0.4570 (5),0.3928 (2),
338271,wistuba,0.3769 (5),0.4495 (6),0.3588 (5),
398186,daniel.vasile,0.3875 (4),0.4317 (7),0.3764 (4),
340251,data_zayatz,0.3350 (10),0.3923 (8),0.3206 (10),
347201,Arnav,0.3510 (7),0.3821 (9),0.3433 (6),
381228,fedorn,0.3510 (7),0.3821 (9),0.3433 (6),
391872,hanwenwang,0.3510 (7),0.3821 (9),0.3433 (6),
421720,LonSilent,0.3510 (7),0.3821 (9),0.3433 (6),
340231,kjelli,0.3398 (8),0.3755 (10),0.3309 (9),
339831,kosari,0.2384 (12),0.3478 (11),0.2110 (12),
480145,katsikop,0.3364 (9),0.3382 (12),0.3360 (8),
391603,hclyu,0.0000 (13),0.0000 (13),0.0000 (13),
394466,paragb308,0.0000 (13),0.0000 (13),0.0000 (13),
455928,gikatsik,0.0000 (13),0.0000 (13),0.0000 (13),
