submission_pk,User,5-Class Accuracy,2-Class Precision,2-Class Recall,2-Class F-Measure
580529,jmccrae,0.921 (3),0.083 (3),0.024 (3),0.037 (3),
592398,acdh,0.870 (4),0.311 (2),0.762 (2),0.441 (2),
591459,pvf,0.000 (5),0.000 (4),0.000 (4),0.000 (4),
submission_pk,User,5-Class Accuracy,2-Class Precision,2-Class Recall,2-Class F-Measure
580529,jmccrae,0.853 (1),0.000 (2),0.000 (2),0.000 (2),
592398,acdh,0.599 (2),0.190 (1),0.464 (1),0.269 (1),
592020,RaffaeleManna,0.000 (3),0.000 (2),0.000 (2),0.000 (2),
591451,dstrohmaier,0.000 (3),0.000 (2),0.000 (2),0.000 (2),
591459,pvf,0.000 (3),0.000 (2),0.000 (2),0.000 (2),
submission_pk,User,5-Class Accuracy,2-Class Precision,2-Class Recall,2-Class F-Measure
591451,dstrohmaier,0.835 (1),0.267 (1),0.037 (2),0.065 (2),
580529,jmccrae,0.834 (2),0.100 (3),0.009 (3),0.017 (3),
592398,acdh,0.442 (3),0.173 (2),0.587 (1),0.268 (1),
592020,RaffaeleManna,0.000 (4),0.000 (4),0.000 (4),0.000 (4),
591459,pvf,0.000 (4),0.000 (4),0.000 (4),0.000 (4),
submission_pk,User,5-Class Accuracy,2-Class Precision,2-Class Recall,2-Class F-Measure
592020,RaffaeleManna,0.829 (1),0.742 (1),0.891 (1),0.810 (1),
591459,pvf,0.786 (2),0.667 (2),0.655 (2),0.661 (2),
591451,dstrohmaier,0.748 (3),0.250 (4),0.009 (4),0.018 (4),
580529,jmccrae,0.678 (4),0.255 (3),0.127 (3),0.170 (3),
592398,acdh,0.000 (5),0.000 (5),0.000 (5),0.000 (5),
