submission_pk,User,Accuracy,Precision,Recall,F1-score
437538,UCDCC,0.7321 (1),0.5768 (1),0.5044 (4),0.5074 (1),
437508,cbaziotis,0.6518 (4),0.4959 (4),0.5124 (2),0.4959 (2),
436289,ChuhanWu,0.6046 (9),0.4860 (6),0.5414 (1),0.4947 (3),
437284,rangwani_harsh,0.6033 (10),0.4660 (7),0.5058 (3),0.4743 (4),
436913,thanhvu,0.6594 (3),0.5446 (2),0.4475 (5),0.4437 (5),
436625,muakasan,0.6327 (6),0.4868 (5),0.4388 (8),0.4352 (6),
436301,jogonba2,0.6327 (6),0.4123 (12),0.4404 (7),0.4211 (7),
437580,omidrohanian,0.6709 (2),0.4311 (10),0.4149 (9),0.4153 (8),
437271,dadangewp,0.5446 (18),0.4087 (15),0.4410 (6),0.4131 (9),
436979,sabino,0.6441 (5),0.5017 (3),0.3850 (15),0.4055 (10),
436557,ereday,0.5842 (13),0.4217 (11),0.4022 (13),0.3934 (11),
436868,wicho,0.5982 (11),0.4117 (14),0.4096 (10),0.3925 (12),
436925,tigi,0.6263 (7),0.4404 (8),0.4059 (12),0.3902 (13),
436675,CJ,0.6033 (10),0.4120 (13),0.4094 (11),0.3836 (14),
436607,brajagpl,0.5508 (17),0.3825 (17),0.3994 (14),0.3755 (15),
437565,s1998,0.5676 (15),0.3380 (21),0.3735 (16),0.3524 (16),
437135,vpatti,0.5599 (16),0.3534 (19),0.3521 (22),0.3520 (17),
437235,zswvivi,0.5421 (19),0.3767 (18),0.3713 (17),0.3501 (18),
437399,AngelDeborahSuseelan,0.5727 (14),0.3484 (20),0.3609 (18),0.3337 (19),
436437,eddearden,0.6059 (8),0.2803 (27),0.3586 (19),0.3130 (20),
437527,usmanahmed189,0.4158 (27),0.4055 (16),0.3526 (21),0.3101 (21),
437405,WegdanGhazi,0.4923 (21),0.2998 (25),0.3108 (23),0.3014 (22),
437564,LuiseD,0.3469 (28),0.3214 (23),0.3529 (20),0.2982 (23),
437520,juliangorfer,0.4324 (26),0.3181 (24),0.3046 (24),0.2982 (24),
436606,rdesh26,0.4860 (22),0.3358 (22),0.2912 (25),0.2776 (25),
436436,Zhenduo,0.4337 (25),0.2939 (26),0.2821 (26),0.2755 (26),
437300,YNU-HPCC,0.5332 (20),0.4379 (9),0.2670 (27),0.2605 (27),
436825,Bilal.ghanem,0.4605 (23),0.2302 (29),0.2498 (29),0.2343 (28),
437095,lanman,0.3036 (29),0.2546 (28),0.2493 (30),0.2326 (29),
436241,dragoni,0.4413 (24),0.2133 (31),0.2314 (31),0.2189 (30),
437212,dirazuherfa,0.5944 (12),0.2171 (30),0.2608 (28),0.2148 (31),
