submission_pk,User,min t-DCF,EER
929009,Anonymous,0.6658 (1),24.44 (3),
929036,Anonymous,0.6725 (2),23.60 (1),
928863,Anonymous,0.6793 (3),25.37 (4),
929091,Anonymous,0.7018 (4),24.22 (2),
928376,Anonymous,0.7084 (5),26.29 (6),
928722,Anonymous,0.7161 (6),25.95 (5),
928728,Anonymous,0.7902 (7),32.39 (9),
929083,Anonymous,0.8093 (8),31.64 (7),
924144,Anonymous,0.8496 (9),32.38 (8),
928969,Anonymous,0.8909 (10),34.05 (10),
900656,Anonymous,0.9033 (11),36.33 (12),
919947,Anonymous,0.9062 (12),36.37 (13),
928888,Anonymous,0.9132 (13),38.29 (16),
928750,Anonymous,0.9467 (14),35.59 (11),
928988,Anonymous,0.9573 (15),38.13 (15),
925706,Anonymous,0.9589 (16),46.01 (26),
929132,Anonymous,0.9638 (17),37.49 (14),
928257,Anonymous,0.9651 (18),39.83 (18),
899965,Anonymous,0.9741 (19),39.79 (17),
928958,Anonymous,0.9747 (20),43.10 (22),
899964,Anonymous,0.9809 (21),42.16 (20),
928817,Anonymous,0.9817 (22),43.85 (23),
928352,Anonymous,0.9833 (23),40.91 (19),
912317,Anonymous,0.9894 (24),42.97 (21),
928855,Anonymous,0.9945 (25),44.80 (24),
915486,Anonymous,0.9974 (26),47.66 (29),
900373,Anonymous,0.9992 (27),46.03 (27),
915979,Anonymous,0.9996 (28),45.10 (25),
925146,Anonymous,0.9998 (29),47.53 (28),
