submission_pk,User,AUC,AP@tIoU0.5,AR@2
971732,asdfqwer,0.98007 (1),0.00000 (1),0.00000 (1),
971301,sgai_lab,0.97836 (2),0.00000 (1),0.00000 (1),
969997,silver_cherry,0.97517 (3),0.00000 (1),0.00000 (1),
971127,BJTU_Lenovo_Group,0.97347 (4),0.00000 (1),0.00000 (1),
968824,Ricardozzf,0.97234 (5),0.00000 (1),0.00000 (1),
970401,juejue,0.97130 (6),0.00000 (1),0.00000 (1),
971175,MasterMirror,0.95881 (7),0.00000 (1),0.00000 (1),
971239,yeap,0.95694 (8),0.00000 (1),0.00000 (1),
971163,NoSympathy,0.95335 (9),0.00000 (1),0.00000 (1),
963586,bloss,0.94163 (10),0.00000 (1),0.00000 (1),
971167,hzm,0.94096 (11),0.00000 (1),0.00000 (1),
970791,m007,0.93780 (12),0.00000 (1),0.00000 (1),
970812,fangmingqi,0.93780 (12),0.00000 (1),0.00000 (1),
966632,DXM-DI-AI-CV-TEAM,0.93049 (13),0.00000 (1),0.00000 (1),
963911,mccy,0.91832 (14),0.00000 (1),0.00000 (1),
971427,util,0.91618 (15),0.00000 (1),0.00000 (1),
971525,GuilinPang,0.90073 (16),0.00000 (1),0.00000 (1),
959745,Iverson,0.87313 (17),0.00000 (1),0.00000 (1),
957141,wo_wowoo,0.84280 (18),0.00000 (1),0.00000 (1),
956884,BokingChen,0.83066 (19),0.00000 (1),0.00000 (1),
961877,Huang96,0.79078 (20),0.00000 (1),0.00000 (1),
957041,dili_li,0.75991 (21),0.00000 (1),0.00000 (1),
965627,lenon233,0.75378 (22),0.00000 (1),0.00000 (1),
968590,leon234,0.75357 (23),0.00000 (1),0.00000 (1),
965613,leon237,0.75028 (24),0.00000 (1),0.00000 (1),
965306,kingback,0.75019 (25),0.00000 (1),0.00000 (1),
968792,obsidian,0.69850 (26),0.00000 (1),0.00000 (1),
949775,xro7,0.66616 (27),0.00000 (1),0.00000 (1),
965603,lgfz,0.65433 (28),0.00000 (1),0.00000 (1),
967075,xt99,0.54768 (29),0.00000 (1),0.00000 (1),
948854,zdcccc,0.53227 (30),0.00000 (1),0.00000 (1),
951745,SanerZ,0.51885 (31),0.00000 (1),0.00000 (1),
968985,waltsky,0.50019 (32),0.00000 (1),0.00000 (1),
936602,ShowN,0.49309 (33),0.00000 (1),0.00000 (1),
