submission_pk,User,DCF,EER
712366,JTBD,0.1772 (1),3.7270 (1),
713376,xx205,0.1958 (2),3.8080 (2),
713465,ntorgashov,0.2028 (3),3.8200 (3),
713456,AntonOkhotnikov,0.2032 (4),3.9390 (4),
713473,makarov,0.2033 (5),3.9400 (5),
688222,DKU-DukeECE,0.2041 (6),3.9620 (6),
711457,njz,0.2046 (7),3.9740 (7),
711470,Rhinos,0.2054 (8),3.9860 (8),
711478,xyz123xyz,0.2077 (9),4.0320 (9),
710624,paranoid_android,0.2081 (10),4.0460 (10),
712671,B15,0.2119 (11),4.1980 (11),
711357,gbarbadillo,0.2298 (12),4.4030 (17),
713424,matejkap,0.2332 (13),4.6230 (20),
712577,iyakovlev,0.2402 (14),4.9410 (24),
712747,navdeep,0.2417 (15),4.4790 (19),
710937,clovaai,0.2495 (16),4.2260 (14),
712331,yufeng,0.2518 (17),4.7450 (21),
712974,yanli.chen,0.2538 (18),4.2040 (13),
712784,yong.chun,0.2546 (19),4.2480 (15),
712851,Ares-UIBE,0.2548 (20),4.2030 (12),
713304,iehppp2010,0.2610 (21),4.3540 (16),
710166,GaoHaitao,0.2639 (22),4.4050 (18),
712912,TFZ,0.2730 (23),5.0600 (26),
710378,alumae,0.2745 (24),4.9110 (23),
712069,DTDwind,0.2747 (25),5.1680 (29),
689831,t_ema,0.2796 (26),5.4170 (32),
710721,rwang,0.2800 (27),4.7770 (22),
710777,semi,0.2857 (28),5.6050 (33),
711378,sfshen,0.2973 (29),4.9700 (25),
702566,ShaneZju,0.3098 (30),5.0760 (27),
696149,ShaneRun,0.3098 (30),5.0760 (27),
708592,DeltaE,0.3104 (31),5.0840 (28),
702289,SangjikHan,0.3146 (32),5.1890 (30),
707319,zh794390558,0.3214 (33),5.2520 (31),
700167,gintautasd,0.3525 (34),5.6700 (34),
678231,zhasgone,0.3578 (35),6.7800 (38),
711979,NickZhang,0.3579 (36),6.0850 (35),
713117,gmh2020,0.3647 (37),6.1100 (36),
713130,hwidong,0.3780 (38),7.1500 (40),
713018,shengyu,0.3790 (39),6.9770 (39),
686836,vggoxford,0.3847 (40),6.3830 (37),
709799,testteam,0.3854 (41),7.5950 (41),
697910,deep_art,0.4275 (42),8.3570 (43),
711589,OrangeLuyao,0.4327 (43),9.3790 (44),
694724,miquelindia90,0.4527 (44),9.7130 (46),
712433,chislab,0.4813 (45),7.9330 (42),
710317,shaoniandeni,0.5313 (46),10.4490 (49),
706312,mhsa,0.5537 (47),11.4500 (50),
685849,JunhyeokLee,0.5555 (48),9.7060 (45),
698315,Khoa_NCU,0.5733 (49),10.0070 (47),
712908,CMB-AILab,0.6151 (50),10.3300 (48),
683501,umair.khan,0.7593 (51),17.9710 (52),
681672,ChokJohn,0.9999 (52),17.1840 (51),
