submission_pk,User,PSNR,SSIM,Runtime per image [s],CPU [1]/ GPU [0],Extra Data [1] / No Extra Data [0]
767876,viasu,30.8889 (1),0.8650 (1),0.8400 (10),1.0 (1),1.0 (3),
812435,swarnendu,29.4297 (2),0.8287 (2),-1.0000 (1),-1.0 (3),-1.0 (1),
811905,QiangLiu,28.7878 (3),0.8161 (3),1.3500 (14),0.0 (2),0.0 (2),
766035,whu_hj,26.3048 (4),0.7191 (5),0.0092 (2),1.0 (1),0.0 (2),
764595,SeungjunNah,26.3005 (5),0.7688 (4),0.0100 (3),1.0 (1),0.0 (2),
837537,tjj,22.7659 (6),0.6278 (7),3.0000 (18),0.0 (2),0.0 (2),
823621,AKeenIsNotAKing,22.6519 (7),0.6309 (6),-1.0000 (1),-1.0 (3),-1.0 (1),
836979,zhangqi,22.6128 (8),0.6158 (10),0.6000 (8),0.0 (2),0.0 (2),
835813,xuehengz,22.6084 (9),0.6176 (9),-1.0000 (1),0.0 (2),0.0 (2),
836894,samuelzhu,22.4256 (10),0.6138 (12),7.0000 (19),0.0 (2),1.0 (3),
824520,Peki,22.4198 (11),0.6123 (14),2.1400 (16),0.0 (2),1.0 (3),
827131,Ruikang_Xu,22.4188 (12),0.6184 (8),-1.0000 (1),-1.0 (3),-1.0 (1),
833994,DeepBlueAI,22.3786 (13),0.6157 (11),1.0000 (11),0.0 (2),0.0 (2),
834369,tensorcat,22.3642 (14),0.6138 (13),0.2500 (6),0.0 (2),1.0 (3),
829862,j.heo,22.0079 (15),0.5962 (18),2.6400 (17),0.0 (2),0.0 (2),
823535,chenfeixut,21.9208 (16),0.5925 (20),0.4500 (7),0.0 (2),0.0 (2),
786619,zhuyeye,21.8565 (17),0.5965 (17),0.1000 (5),0.0 (2),0.0 (2),
836141,CNN,21.7770 (18),0.5955 (19),1.2500 (13),0.0 (2),1.0 (3),
779470,o0w0o,21.7426 (19),0.5792 (22),1.2000 (12),1.0 (1),0.0 (2),
821694,ACALJJ32,21.7306 (20),0.5901 (21),1.2500 (13),0.0 (2),1.0 (3),
771247,KangFu,21.6284 (21),0.6016 (15),1.9750 (15),0.0 (2),1.0 (3),
767990,GwanSiu,21.6284 (21),0.6016 (15),0.0100 (3),0.0 (2),1.0 (3),
826511,iPrayer,21.6169 (22),0.5981 (16),1.2000 (12),0.0 (2),0.0 (2),
776280,Jingzhu_Tang,17.6546 (23),0.4662 (24),0.6100 (9),0.0 (2),1.0 (3),
837645,ankit0165,17.1398 (24),0.4818 (23),0.0600 (4),0.0 (2),0.0 (2),
822242,zyxiao,9.2429 (25),0.2908 (25),-1.0000 (1),-1.0 (3),-1.0 (1),
