submission_pk,User,Accuracy,F-score,MRR,MAP
187601,andrew.finch,0.2139 (1),0.7292 (1),0.3026 (1),0.2119 (1),
187611,yanshao9798,0.1619 (2),0.7253 (2),0.1816 (2),0.1620 (2),
188181,hcs,0.1099 (3),0.6687 (3),0.1099 (4),0.1066 (3),
183951,amirhj,0.0834 (4),0.6564 (4),0.1425 (3),0.0830 (4),
