submission_pk,User,SLS,SLS,SLS,Overall (%),Overall (%),Overall (%),Unseen (%),Unseen (%),Unseen (%),Tail (%),Tail (%),Tail (%)
,PT,TL,TD,Verb,Noun,Action,Verb,Noun,Action,Verb,Noun,Action
1002369,allenxuuu,4.0 (1),17.35 (1),14.14 (1),14.30 (2),,,,,,,,,,,,,
999897,Shawn0822,3.0 (2),17.02 (2),12.84 (3),15.56 (1),,,,,,,,,,,,,
969452,shef,4.0 (1),16.74 (3),12.89 (2),13.81 (3),,,,,,,,,,,,,
897460,panasonic,3.0 (2),14.82 (4),10.21 (6),12.69 (4),,,,,,,,,,,,,
858999,temporalAgg,3.0 (2),12.55 (5),10.46 (4),8.85 (5),,,,,,,,,,,,,
1029536,zhbqi,3.0 (2),12.11 (6),10.39 (5),8.73 (6),,,,,,,,,,,,,
887603,haoxiaoshuai,3.0 (2),11.19 (7),9.65 (7),7.92 (7),,,,,,,,,,,,,
698830,RULSTM_FUSION,3.0 (2),11.19 (7),9.65 (7),7.92 (7),,,,,,,,,,,,,
698801,RULSTM_RGB,3.0 (2),10.45 (8),9.13 (8),7.39 (8),,,,,,,,,,,,,
698816,RULSTM_FLOW,3.0 (2),7.36 (9),6.86 (10),4.97 (9),,,,,,,,,,,,,
939004,fangjun,4.0 (1),6.50 (10),5.51 (12),3.69 (11),,,,,,,,,,,,,
1023337,jiasenlu01,0.0 (3),5.76 (11),6.97 (9),4.72 (10),,,,,,,,,,,,,
698822,RULSTM_OBJ,3.0 (2),3.96 (12),5.79 (11),1.85 (12),,,,,,,,,,,,,
698871,EPIC_CHANCE_BASELINE,3.0 (2),0.14 (13),0.31 (13),0.03 (13),,,,,,,,,,,,,
