submission_pk,User,< Rank >,MCC,F1 BAD,F1 OK,Disk Footprint (Bytes),Model Params
936671,HW-TSC,1.40 (1),0.8469 (1),0.9365 (1),0.9104 (1),2243954093.0 (2),560944640.0 (2),
940426,IST-Unbabel,2.40 (3),0.5277 (2),0.8216 (2),0.6833 (2),2294887576.0 (3),569368609.0 (3),
940580,fblain,2.20 (2),0.4251 (3),0.7934 (3),0.5743 (3),1142441796.0 (1),281297685.0 (1),
submission_pk,User,< Rank >,MCC,F1 BAD,F1 OK,Disk Footprint (Bytes),Model Params
936671,HW-TSC,1.40 (1),0.6392 (1),0.6514 (1),0.9786 (1),2243954093.0 (2),560944640.0 (2),
940426,IST-Unbabel,2.40 (3),0.2579 (2),0.2710 (2),0.9715 (2),2294887576.0 (3),569368609.0 (3),
940580,fblain,2.20 (2),0.2079 (3),0.2393 (3),0.9657 (3),1142441796.0 (1),281297685.0 (1),
submission_pk,User,< Rank >,MCC,F1 BAD,F1 OK,Disk Footprint (Bytes),Model Params
936671,HW-TSC,1.40 (1),0.6159 (1),0.8039 (1),0.8099 (1),2243954093.0 (2),560944640.0 (2),
940426,IST-Unbabel,2.40 (3),0.4057 (2),0.7218 (2),0.6265 (2),2294887576.0 (3),569368609.0 (3),
940580,fblain,2.20 (2),0.3347 (3),0.6979 (3),0.5436 (3),1142441796.0 (1),281297685.0 (1),
