submission_pk,User,AUC,Macro F1,Positive F1,Accuracy
1128157,seeyou,0.8011 (1),0.6799 (7),0.8628 (1),0.7844 (1),
1128472,TAL-JNU,0.7972 (2),0.6829 (4),0.8535 (13),0.7746 (5),
1103155,Tungmphung,0.7944 (3),0.6819 (5),0.7832 (29),0.7142 (26),
1127622,spucodalab,0.7943 (4),0.6545 (18),0.8513 (16),0.7666 (13),
1118599,Huangtaoo,0.7929 (5),0.6652 (15),0.8566 (8),0.7746 (5),
1128356,fightagain,0.7928 (6),0.6703 (14),0.8535 (11),0.7721 (10),
1128362,ybzUI,0.7922 (7),0.6767 (9),0.8535 (12),0.7734 (8),
1127869,hfutlf,0.7911 (8),0.6770 (8),0.8588 (3),0.7793 (3),
1128583,skipper,0.7909 (9),0.6816 (6),0.8599 (2),0.7814 (2),
1127808,rushB,0.7902 (10),0.6762 (11),0.8578 (4),0.7780 (4),
1107313,zrliu,0.7902 (11),0.6628 (16),0.8570 (6),0.7746 (5),
1125117,lwh,0.7864 (12),0.6457 (20),0.8541 (10),0.7683 (12),
1126730,HFUT-luorui,0.7863 (13),0.6624 (17),0.8567 (7),0.7742 (6),
1127195,Jeda,0.7852 (14),0.6905 (2),0.8325 (28),0.7556 (19),
1118914,badbanana,0.7852 (15),0.6919 (1),0.8478 (19),0.7708 (11),
1125101,llc12139,0.7847 (16),0.6767 (10),0.8394 (27),0.7586 (17),
1126800,Explorer_w,0.7829 (17),0.6533 (19),0.8577 (5),0.7738 (7),
1115230,Xuanyu,0.7821 (18),0.6238 (25),0.8532 (14),0.7636 (15),
1114373,badapple,0.7819 (19),0.6872 (3),0.8506 (17),0.7725 (9),
1128267,lastbad,0.7808 (20),0.6737 (12),0.8401 (26),0.7586 (17),
1111189,lomm,0.7770 (21),0.5126 (30),0.8522 (15),0.7493 (22),
1112850,htzhang,0.7754 (22),0.6712 (13),0.8459 (22),0.7641 (14),
1122449,Hermes_24,0.7729 (23),0.6250 (24),0.7046 (31),0.6419 (28),
1102857,titimike,0.7716 (24),0.6427 (21),0.7261 (30),0.6622 (27),
1126648,ghzhao,0.7697 (25),0.6065 (26),0.8453 (24),0.7514 (21),
1121504,jsarraffe,0.7642 (26),0.6256 (23),0.8466 (20),0.7560 (18),
1126912,zhengz2,0.7637 (27),0.4227 (33),0.8455 (23),0.7323 (25),
1124160,E-HAT,0.7622 (28),0.5748 (27),0.8556 (9),0.7603 (16),
1091578,twprice,0.7565 (29),0.5396 (28),0.8462 (21),0.7438 (24),
1104888,gokyori,0.7522 (30),0.6304 (22),0.8441 (25),0.7539 (20),
1127877,TnTWoW,0.7429 (31),0.5107 (31),0.8502 (18),0.7463 (23),
1127503,shsun,0.5560 (32),0.5282 (29),0.6583 (32),0.5641 (29),
1126943,Rdm,0.5326 (33),0.4938 (32),0.6073 (33),0.5192 (30),
