submission_pk,User,MRAE,MOS,SID,APPSA,MSE,PSNR,SSIM
473555,zrfan,0.11 (2),- (-),49.25 (1),0.07 (1),1579892.50 (1),36.69 (2),0.91 (1),
474433,Vacat,0.10 (1),- (-),51.11 (3),0.07 (2),1683137.28 (3),36.61 (3),0.90 (2),
473348,FayezLahoud,0.12 (3),- (-),55.81 (4),0.07 (3),1754620.81 (4),36.16 (4),0.90 (4),
474319,zhangtao,0.12 (4),- (-),50.07 (2),0.07 (4),1636627.50 (2),36.70 (1),0.90 (3),
473390,Lab517,0.17 (6),- (-),64.56 (5),0.09 (5),1953109.83 (5),35.67 (5),0.88 (5),
474326,nattochaduke,2.54 (9),- (-),148.10 (6),0.10 (6),4409465.55 (6),31.98 (6),0.81 (6),
474981,contstriver,0.13 (5),- (-),181.18 (7),0.10 (7),5615028.63 (7),31.12 (7),0.75 (7),
473478,JJJ,0.30 (8),- (-),193.20 (8),0.12 (8),6095719.90 (8),30.47 (8),0.69 (9),
473391,zhwzhong,0.26 (7),- (-),227.26 (9),0.13 (9),6840450.08 (9),29.96 (9),0.71 (8),
