submission_pk,User,Test AUC,Avg. Val. AUC,Test Spec.,Test Sens.
838052,the_brogrramers,87.07 (1),99.97 (2),83.33 (1),80.49 (3),
829348,Jemery,85.43 (2),76.29 (11),82.29 (2),80.49 (3),
822686,jharvill23,85.35 (3),76.45 (10),71.88 (6),80.49 (3),
840616,gyokov,85.21 (4),74.12 (14),81.25 (3),80.49 (3),
840607,Samsung_R_and_D_Bangalore,83.93 (5),82.01 (7),70.83 (7),80.49 (3),
840040,ecerohan,83.49 (6),71.95 (16),77.08 (4),80.49 (3),
839692,benjaminms,82.37 (7),74.41 (13),72.92 (5),80.49 (3),
837905,lbishal,82.32 (8),87.36 (5),67.19 (9),80.49 (3),
840658,deepak242424,80.75 (9),78.10 (8),63.54 (10),80.49 (3),
839426,HarryCoppock,79.86 (10),77.22 (9),68.23 (8),80.49 (3),
837950,vnaray29,78.30 (11),82.23 (6),50.52 (19),80.49 (3),
840052,EIHW_1,78.18 (12),94.31 (3),58.85 (15),80.49 (3),
838593,zhaoren,77.96 (13),70.56 (18),59.38 (14),80.49 (3),
839725,GanjiSreeram,77.58 (14),65.82 (26),60.42 (13),80.49 (3),
839373,Panacea,76.31 (15),69.80 (21),53.65 (18),80.49 (3),
839904,AnnesyaBanerjee,75.91 (16),94.29 (4),62.50 (11),80.49 (3),
828994,PDXAAC,75.26 (17),69.26 (22),55.21 (17),82.93 (2),
840689,SwapnilB,71.94 (18),72.87 (15),47.40 (21),80.49 (3),
835302,mynamenotdrew,71.32 (19),69.89 (20),44.79 (22),80.49 (3),
839862,CoWIN,71.28 (20),100.00 (1),58.85 (15),80.49 (3),
837619,EIHW-MTG,70.91 (21),61.90 (27),47.40 (21),80.49 (3),
835608,smiip,70.56 (22),74.93 (12),61.46 (12),80.49 (3),
838517,daiict_speech_lab,69.97 (23),71.03 (17),47.92 (20),80.49 (3),
820703,dicova2021,69.85 (24),68.54 (23),53.65 (18),80.49 (3),
840692,danlyth,68.83 (25),65.83 (25),56.25 (16),80.49 (3),
839593,ankitshah009,67.58 (26),69.95 (19),41.15 (24),80.49 (3),
840051,GD2021,64.42 (27),47.28 (29),40.10 (25),80.49 (3),
835884,NIT_Patna,64.25 (28),67.13 (24),42.71 (23),80.49 (3),
839572,karpovaa,56.72 (29),56.64 (28),0.00 (26),100.00 (1),
