submission_pk,User,Total,Test 1,Test 2,Test 3
516872,Anonymous,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
516859,Anonymous,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
516854,Anonymous,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
516838,Anonymous,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
516780,Anonymous,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
516768,Anonymous,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
516761,Anonymous,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
516704,Anonymous,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
516703,Anonymous,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
516695,Anonymous,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
516674,Anonymous,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
516665,Anonymous,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
516664,Anonymous,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
516662,Anonymous,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
516660,Anonymous,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
516624,Anonymous,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
516595,Anonymous,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
516587,Anonymous,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
516576,Anonymous,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
516516,Anonymous,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
516356,Anonymous,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
516139,Anonymous,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
516138,Anonymous,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
516135,Anonymous,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
516133,Anonymous,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
516124,Anonymous,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
516113,Anonymous,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
516107,Anonymous,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
516082,Anonymous,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
516070,Anonymous,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
516036,Anonymous,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
515940,Anonymous,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
515831,Anonymous,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
515774,Anonymous,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
515523,Anonymous,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
515515,Anonymous,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
515399,Anonymous,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
515352,Anonymous,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
515337,Anonymous,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
515045,Anonymous,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
514563,Anonymous,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
514554,Anonymous,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
514503,Anonymous,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
513637,Anonymous,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
