submission_pk,User,Pearson r,MAE,RMSE
652758,NiuTrans,0.5506 (1),0.4987 (5),0.6540 (5),
652511,tharindu,0.5373 (2),0.6754 (8),0.8309 (8),
650261,ssun32,0.5298 (3),0.4518 (1),0.5865 (1),
678139,jxnu_hxm,0.4954 (4),0.9897 (14),1.1336 (14),
652604,Joao1996,0.4943 (5),0.4591 (2),0.5923 (2),
642568,xc2019,0.4651 (6),0.7819 (9),0.9442 (9),
670183,luoqi,0.4497 (7),0.4862 (4),0.6334 (4),
645997,aj54,0.4442 (8),1.0200 (15),1.1698 (15),
651620,TMUOU,0.4377 (9),0.5854 (7),0.7391 (7),
652156,LisaIan,0.4286 (10),0.4674 (3),0.6123 (3),
652483,ddk,0.3460 (11),0.5180 (6),0.6841 (6),
651946,mfomicheva,0.3210 (12),1.0942 (16),1.2277 (16),
652672,mhkane_225,0.2983 (13),0.7960 (10),0.9701 (10),
600502,fblain,0.1902 (14),0.8848 (13),1.0675 (13),
728158,bicici,0.1504 (15),0.8043 (11),1.0249 (11),
651952,leizhou,0.0849 (16),0.8732 (12),1.0586 (12),
