submission_pk,User,F1,Precision,Recall
1065386,jplu,0.944 (1),0.948 (1),0.940 (1),
1037525,ChenGuimin,0.842 (2),0.847 (3),0.838 (2),
1063204,pvf,0.839 (3),0.849 (2),0.830 (3),
1074293,emanuela.boros,0.805 (4),0.795 (4),0.817 (4),
1047616,fifth-honer,0.797 (5),0.788 (5),0.807 (5),
1031522,CestDoDo,0.775 (6),0.766 (6),0.788 (6),
1032346,Wolk1612,0.770 (7),0.765 (7),0.776 (8),
1030859,multiconer_codalab_2022,0.758 (8),0.737 (8),0.781 (7),
1087055,tfnribeiro,0.719 (9),0.731 (9),0.712 (10),
1047004,goga,0.718 (10),0.713 (10),0.724 (9),
1028645,cool,0.538 (11),0.655 (11),0.467 (11),
