submission_pk,User,f1,recall,prec,acc
1107139,thiffany.pratama,0.715 (1),0.818 (1),0.635 (4),0.000 (1),
1139906,bananaPisang,0.705 (2),0.792 (2),0.635 (3),0.000 (1),
1113046,adi.wahyu.candra.kusuma,0.698 (3),0.754 (5),0.650 (1),0.000 (1),
1113029,dionisiuspr,0.695 (4),0.765 (4),0.637 (2),0.000 (1),
1112493,rizal476,0.684 (5),0.784 (3),0.607 (6),0.000 (1),
712594,cahya,0.676 (6),0.747 (6),0.618 (5),0.000 (1),
1113174,arief,0.628 (7),0.732 (7),0.550 (8),0.000 (1),
1112585,denayaraha,0.608 (8),0.654 (8),0.568 (7),0.000 (1),
1110852,dimmasmulya,0.570 (9),0.632 (9),0.520 (9),0.000 (1),
1113091,g_adhitia,0.500 (10),0.513 (10),0.487 (11),0.000 (1),
1113118,rickyisfandiari,0.468 (11),0.432 (11),0.511 (10),0.000 (1),
1113080,mfarismuzakki,0.161 (12),0.115 (12),0.268 (12),0.000 (1),
