submission_pk,User,F1,Precision,Recall
997855,nithishkannen,0.99 (1),0.99 (1),0.99 (1),
1008659,uyaseen,0.83 (2),0.83 (2),0.83 (2),
972592,amirveyseh,0.08 (3),0.10 (3),0.06 (3),
