submission_pk,User,PQ,PQ+,RQ,SQ,PQ(Th),RQ(Th),SQ(Th),PQ(st),RQ(st),SQ(st),mIoU
1121700,hblixy2,0.634 (1),0.697 (1),0.736 (1),0.852 (1),0.667 (1),0.743 (2),0.898 (2),0.610 (2),0.731 (7),0.819 (1),0.683 (2),
1023481,Panoptic-PHNet,0.615 (2),0.679 (3),0.721 (4),0.848 (2),0.638 (3),0.704 (3),0.907 (1),0.599 (6),0.733 (3),0.805 (5),0.660 (9),
970169,sxubj,0.615 (3),0.675 (4),0.721 (3),0.845 (3),0.614 (4),0.693 (4),0.881 (6),0.615 (1),0.741 (2),0.818 (2),0.677 (6),
833969,AF2S3Net,0.600 (4),0.690 (2),0.721 (2),0.820 (14),0.650 (2),0.745 (1),0.866 (14),0.564 (17),0.704 (16),0.787 (18),0.708 (1),
1147924,quanyyds,0.598 (5),0.665 (5),0.706 (5),0.838 (6),0.594 (6),0.671 (5),0.883 (5),0.601 (5),0.732 (4),0.805 (7),0.678 (5),
829969,greenbro,0.591 (6),0.657 (6),0.696 (6),0.840 (4),0.598 (5),0.667 (6),0.892 (3),0.586 (11),0.716 (13),0.803 (8),0.640 (10),
971934,sem_seg_3d,0.589 (7),0.648 (7),0.694 (7),0.840 (5),0.582 (7),0.649 (8),0.889 (4),0.595 (7),0.727 (9),0.805 (6),0.668 (8),
825340,Alibaba-ADLab-Perception,0.583 (8),0.643 (8),0.691 (8),0.830 (7),0.554 (10),0.638 (10),0.851 (18),0.604 (4),0.730 (8),0.815 (3),0.668 (7),
1103141,axa,0.576 (9),0.640 (9),0.686 (11),0.829 (9),0.573 (8),0.652 (7),0.876 (8),0.578 (14),0.710 (15),0.795 (12),0.635 (12),
758589,bunny3112,0.574 (10),0.632 (11),0.687 (10),0.830 (8),0.531 (16),0.605 (19),0.878 (7),0.605 (3),0.746 (1),0.795 (14),0.614 (18),
957885,CPSeg,0.569 (11),0.634 (10),0.687 (9),0.823 (12),0.547 (12),0.636 (11),0.862 (16),0.585 (12),0.724 (10),0.794 (15),0.626 (14),
937059,Yiming,0.565 (12),0.631 (12),0.679 (12),0.823 (10),0.529 (18),0.621 (14),0.848 (19),0.591 (10),0.721 (12),0.806 (4),0.682 (3),
841384,rw2019,0.562 (13),0.628 (13),0.673 (15),0.818 (16),0.564 (9),0.641 (9),0.870 (12),0.560 (18),0.696 (17),0.781 (21),0.636 (11),
957891,Noah_Canada,0.561 (14),0.625 (15),0.679 (13),0.820 (15),0.530 (17),0.618 (16),0.856 (17),0.584 (13),0.723 (11),0.793 (16),0.633 (13),
940335,Xiao_wpi,0.560 (15),0.626 (14),0.674 (14),0.821 (13),0.518 (19),0.610 (17),0.842 (21),0.591 (10),0.721 (12),0.806 (4),0.679 (4),
735634,noah820,0.559 (16),0.625 (16),0.667 (16),0.823 (11),0.551 (11),0.628 (12),0.872 (10),0.565 (16),0.695 (18),0.787 (19),0.616 (17),
1007806,PeterX,0.547 (17),0.611 (18),0.655 (18),0.816 (18),0.546 (13),0.621 (13),0.873 (9),0.548 (21),0.680 (23),0.775 (23),0.590 (24),
1058982,wqwang,0.546 (18),0.615 (17),0.655 (17),0.817 (17),0.540 (14),0.619 (15),0.867 (13),0.551 (20),0.682 (21),0.781 (20),0.606 (20),
746352,PolarNet_seg,0.541 (19),0.607 (19),0.650 (19),0.814 (20),0.533 (15),0.606 (18),0.872 (11),0.548 (22),0.681 (22),0.772 (24),0.595 (23),
1145023,yum,0.531 (20),0.592 (22),0.646 (20),0.812 (21),0.449 (23),0.530 (23),0.835 (22),0.591 (9),0.731 (6),0.795 (13),0.618 (16),
1078452,thakaori,0.530 (21),0.597 (21),0.643 (22),0.810 (23),0.508 (20),0.586 (20),0.863 (15),0.547 (23),0.684 (19),0.772 (25),0.584 (25),
1146484,MaskRange,0.530 (22),0.590 (23),0.645 (21),0.812 (22),0.445 (24),0.526 (24),0.835 (23),0.592 (8),0.732 (5),0.795 (11),0.619 (15),
705825,stefanogasperini,0.527 (23),0.599 (20),0.641 (23),0.807 (24),0.494 (21),0.585 (21),0.833 (24),0.551 (19),0.682 (20),0.788 (17),0.599 (21),
676121,mehmetTUM,0.503 (24),0.578 (24),0.611 (24),0.816 (19),0.453 (22),0.532 (22),0.844 (20),0.540 (24),0.668 (25),0.795 (10),0.613 (19),
1132030,rmarcuzzi,0.491 (25),0.546 (25),0.601 (25),0.805 (25),0.372 (25),0.447 (25),0.818 (26),0.578 (15),0.712 (14),0.796 (9),0.595 (22),
843469,andreass,0.445 (26),0.523 (26),0.553 (26),0.791 (26),0.367 (26),0.435 (26),0.828 (25),0.502 (26),0.639 (26),0.765 (26),0.546 (26),
770700,HurtadoJV,0.431 (27),0.507 (27),0.539 (27),0.788 (27),0.286 (28),0.355 (28),0.804 (27),0.536 (25),0.673 (24),0.777 (22),0.526 (28),
934342,lube,0.396 (28),0.476 (28),0.520 (28),0.748 (29),0.309 (27),0.385 (27),0.784 (28),0.459 (27),0.618 (27),0.721 (28),0.511 (29),
723590,Liqiang,0.319 (29),0.409 (29),0.424 (29),0.748 (28),0.185 (29),0.233 (29),0.776 (29),0.417 (28),0.563 (28),0.727 (27),0.534 (27),
622056,frederik,0.067 (30),0.067 (30),0.077 (30),0.178 (30),0.158 (30),0.183 (30),0.423 (30),0.000 (29),0.000 (29),0.000 (29),0.055 (30),
