submission_pk,User,< Rank >,Pearson r,RMSE,MAE,Disk Footprint,Model Params
939748,HW-TSC,3.00 (1),0.6531 (1),0.1513 (1),0.1079 (1),2243954093.0 (6),560944640.0 (6),
940557,IST-Unbabel,4.60 (6),0.6173 (2),0.1715 (4),0.1163 (3),2294887576.0 (7),569368609.0 (7),
935790,Abulice,4.20 (4),0.5773 (3),0.1743 (6),0.1154 (2),2243439613.0 (5),560814661.0 (5),
941130,dammy,4.40 (5),0.5497 (4),0.1741 (5),0.1304 (6),1561188430.0 (4),390210052.0 (3),
938571,LisaIan,3.40 (2),0.5307 (5),0.1713 (3),0.1345 (7),55632317.0 (1),48.0 (1),
940555,fblain,4.40 (5),0.5285 (6),0.1828 (7),0.1291 (5),1142441796.0 (2),281297685.0 (2),
936678,shch,4.00 (3),0.5199 (7),0.1711 (2),0.1287 (4),1363652116.0 (3),502000000.0 (4),
