submission_pk,User,Mean Average Precision
627859,qingzhiwu,0.4053 (1),
627858,lintianwei,0.3933 (2),
627687,lllcho,0.3351 (3),
627253,PES,0.2794 (4),
620516,Peisen,0.2172 (5),
627274,pardoalejo,0.1812 (6),
600223,zhaohang0124,0.1610 (7),
