submission_pk,User,mAP
418278,chenc2,0.884750 (1),
415557,yoosan,0.820535 (2),
417558,shao,0.814425 (3),
415215,TMP_123456,0.800696 (4),
415525,MultiByte,0.756404 (5),
417981,sogang,0.651784 (6),
415076,wzxhome,0.552155 (7),
