submission_pk,User,PSNR,SSIM,Runtime per image [s],CPU [1] / GPU [0],Extra Data [1] / No Extra Data [0]
397649,sanghyun,31.257 (1),0.8788 (1),8.670 (15),0.0 (2),0.0 (2),
397162,zzmmzz,31.020 (2),0.8744 (2),0.500 (7),0.0 (2),0.0 (2),
397180,Heewon,30.977 (3),0.8742 (3),97.980 (18),0.0 (2),0.0 (2),
397668,sparkfirer,30.870 (4),0.8725 (4),6.260 (13),0.0 (2),0.0 (2),
397615,chenyunjin_ULSee,30.654 (5),0.8691 (5),0.140 (4),0.0 (2),0.0 (2),
397319,tzm1003306213,30.517 (6),0.8664 (6),2.300 (12),0.0 (2),1.0 (1),
397335,xiangyu_xu,30.369 (7),0.8606 (11),2.000 (11),0.0 (2),0.0 (2),
392182,cskzh,30.364 (8),0.8629 (7),0.200 (5),0.0 (2),0.0 (2),
397552,phunghx,30.358 (9),0.8625 (9),0.900 (8),0.0 (2),0.0 (2),
393055,dshnightmare,30.344 (10),0.8627 (8),9.980 (16),0.0 (2),0.0 (2),
397647,xjc_faceall,30.309 (11),0.8620 (10),0.020 (2),0.0 (2),0.0 (2),
397362,haoyu.ren,30.241 (12),0.8581 (12),0.450 (6),0.0 (2),0.0 (2),
397269,giangbui,30.177 (13),0.8574 (13),0.500 (7),1.0 (1),0.0 (2),
397358,cvlab,30.044 (14),0.8557 (15),0.500 (7),1.0 (1),0.0 (2),
397643,lanpa,29.893 (15),0.8564 (14),2.000 (11),0.0 (2),0.0 (2),
397232,spectrum,29.603 (16),0.8458 (16),60.000 (17),1.0 (1),0.0 (2),
396237,srimanta_mandal,29.359 (17),0.8412 (17),-1.000 (1),-1.0 (3),-1.0 (3),
391434,rathorro,28.218 (18),0.8124 (20),0.025 (3),1.0 (1),0.0 (2),
396815,sonam,27.430 (19),0.8301 (18),1.407 (10),0.0 (2),0.0 (2),
394529,tgjeon,26.148 (20),0.8293 (19),1.010 (9),0.0 (2),0.0 (2),
397127,hewavithara,24.001 (21),0.7284 (21),7.660 (14),0.0 (2),0.0 (2),
