submission_pk,User,Pearson r,MAE,RMSE
651019,yuriak,0.7583 (1),0.0994 (1),0.1325 (1),
652414,djlee_beringlab,0.7232 (2),0.1071 (2),0.1404 (2),
652715,NiuTrans,0.6492 (3),0.1227 (3),0.1541 (3),
652635,Joao1996,0.6328 (4),0.1366 (7),0.1776 (7),
633211,cuiqu,0.6181 (5),0.1285 (4),0.1600 (4),
653298,Raphael_NICT,0.6152 (6),0.1513 (14),0.1972 (17),
659559,LisaIan,0.6133 (7),0.1301 (5),0.1602 (5),
707881,chencong,0.5845 (8),0.1471 (11),0.1916 (14),
710013,jxnu_hxm,0.5749 (9),0.1451 (9),0.1866 (11),
679844,dsidhpur,0.5746 (10),0.1362 (6),0.1771 (6),
709529,bhhd,0.5717 (11),0.1451 (9),0.1882 (12),
652464,ddk,0.5311 (12),0.1382 (8),0.1804 (8),
633952,tharindu,0.4994 (13),0.1486 (12),0.1842 (10),
624619,zhanghuimeng,0.4935 (14),0.1628 (17),0.1982 (18),
643009,erickrf,0.4422 (15),0.1462 (10),0.1827 (9),
618802,DexinWang,0.4022 (16),0.1546 (15),0.1959 (15),
603577,fblain,0.3916 (17),0.1500 (13),0.1896 (13),
732420,dammy,0.2972 (18),0.1550 (16),0.1969 (16),
1024855,bicici,0.2387 (19),0.2305 (18),0.2896 (19),
