submission_pk,User,AP,AP50,AP75,APm,APl
487549,wangxuanhan,0.65 (1),0.93 (1),0.76 (1),0.58 (1),0.66 (1),
501905,fyhtea,0.61 (2),0.92 (2),0.72 (2),0.51 (3),0.62 (2),
488558,zhuxuhan,0.56 (3),0.90 (3),0.65 (3),0.52 (2),0.57 (3),
