submission_pk,User,top-5 accuracy,top-1 accuracy
405926,Beihu,91.51 (1),74.47 (1),
407130,tomotana,88.62 (2),71.36 (2),
404947,secina2,86.45 (3),67.48 (3),
396789,07wanglimin,79.30 (4),58.98 (4),
