submission_pk,User,Average,CIFAR10-IC,LabelMe-IC,PDIS,Gimpel-POS,CrowthTruth-FD,AURC-8
763946,alexandraG,0.7607 (1),0.6251 (2),0.8174 (1),0.8931 (3),0.7949 (1),- (-),0.6732 (1),
735499,May0112358,0.6155 (2),0.6372 (1),0.8044 (2),0.8976 (2),0.7384 (2),- (-),0.0000 (2),
741640,huan.luo,0.1807 (3),0.0000 (4),0.0000 (3),0.9033 (1),0.0000 (3),- (-),0.0000 (2),
742308,oseibrefo,0.1241 (4),0.6203 (3),0.0000 (3),0.0000 (4),0.0000 (3),- (-),0.0000 (2),
submission_pk,User,Average,CIFAR10-IC,LabelMe-IC,PDIS,Gimpel-POS,CrowthTruth-FD,AURC-8
763946,alexandraG,1.3094 (1),2.7753 (3),1.6325 (1),0.3900 (2),1.0836 (1),- (-),0.6655 (1),
735499,May0112358,2002.2636 (2),2.7117 (1),4.2009 (2),0.4292 (3),3.9760 (2),- (-),10000.0000 (2),
741640,huan.luo,8000.0665 (3),10000.0000 (4),10000.0000 (3),0.3324 (1),10000.0000 (3),- (-),10000.0000 (2),
742308,oseibrefo,8000.5505 (4),2.7526 (2),10000.0000 (3),10000.0000 (4),10000.0000 (3),- (-),10000.0000 (2),
submission_pk,User,F1,CrossEntropy
735499,May0112358,0.6372 (1),2.7117 (1),
763946,alexandraG,0.6251 (2),2.7753 (3),
742308,oseibrefo,0.6203 (3),2.7526 (2),
741640,huan.luo,0.0000 (4),10000.0000 (4),
submission_pk,User,F1,CrossEntropy
763946,alexandraG,0.8174 (1),1.6325 (1),
735499,May0112358,0.8044 (2),4.2009 (2),
742308,oseibrefo,0.0000 (3),10000.0000 (3),
741640,huan.luo,0.0000 (3),10000.0000 (3),
submission_pk,User,F1,CrossEntropy
741640,huan.luo,0.9033 (1),0.3324 (1),
735499,May0112358,0.8976 (2),0.4292 (3),
763946,alexandraG,0.8931 (3),0.3900 (2),
742308,oseibrefo,0.0000 (4),10000.0000 (4),
submission_pk,User,F1,CrossEntropy
763946,alexandraG,0.7949 (1),1.0836 (1),
735499,May0112358,0.7384 (2),3.9760 (2),
742308,oseibrefo,0.0000 (3),10000.0000 (3),
741640,huan.luo,0.0000 (3),10000.0000 (3),
submission_pk,User,F1,CrossEntropy
741640,huan.luo,- (-),,
763946,alexandraG,- (-),,
735499,May0112358,- (-),,
742308,oseibrefo,- (-),,
submission_pk,User,F1,CrossEntropy
763946,alexandraG,0.6732 (1),0.6655 (1),
742308,oseibrefo,0.0000 (2),10000.0000 (2),
741640,huan.luo,0.0000 (2),10000.0000 (2),
735499,May0112358,0.0000 (2),10000.0000 (2),
