submission_pk,User,Accuracy
755094,Ahmed_Magd,0.9147 (1),
753487,v.kuleykin,0.8981 (2),
754528,diehard,0.8897 (3),
754211,Abdelaziz,0.8893 (4),
751879,YaroslavPlaskin,0.8772 (5),
754272,Iyk02,0.8769 (6),
753544,dfokin,0.8650 (7),
754776,Albatoul_Yaseen,0.8586 (8),
753666,Mostafa_Metwally,0.8586 (8),
753647,ValeriyaZanina,0.8582 (9),
753648,Mostafa_Hegazy,0.8518 (10),
755319,SalmanKabir,0.8469 (11),
754960,AnastasiaAndronova,0.8444 (12),
755191,sg.ivanov,0.8443 (13),
752605,GRoman,0.8411 (14),
754688,elizaverba,0.8407 (15),
751044,osmiyg,0.8367 (16),
755288,Amer,0.8348 (17),
753400,c.awais,0.8325 (18),
746322,aidar_valeev,0.8299 (19),
754874,b.guryev,0.8290 (20),
753665,ikram,0.8275 (21),
754775,cham_an,0.8037 (22),
755333,Ruslan,0.7991 (23),
754273,firasjolha,0.7973 (24),
754213,Edelqueen,0.7965 (25),
754823,kozlovpa,0.7941 (26),
753645,Mohamed_Moustafa,0.7923 (27),
754251,Credog,0.7903 (28),
755298,mbao01,0.7885 (29),
754214,Suliman.Badour,0.7813 (30),
752576,Khadija-Fraz,0.7774 (31),
755264,kirill_daniakin,0.7728 (32),
754858,women.call.me.danechka,0.7649 (33),
755218,DalerK,0.7507 (34),
753470,cisimon7,0.7363 (35),
755103,Corona_Jose,0.7216 (36),
747673,adilermek,0.6851 (37),
753738,Dzet,0.6816 (38),
755344,aleksei_evlampev,0.6103 (39),
743210,Bonilapa,0.4941 (40),
753399,Erik_Krasilnikov,0.4930 (41),
