submission_pk,User,F1,Accuracy,Precision,Recall
787461,mohamedgabr96,0.2238 (1),0.3572 (1),0.3156 (1),0.2066 (1),
786042,anshul.wadhawan,0.2166 (2),0.3170 (3),0.2846 (3),0.2001 (2),
787608,mekki,0.2091 (3),0.3384 (2),0.3116 (2),0.1909 (3),
780024,Aicha.Zitouni,0.1450 (4),0.2406 (4),0.2024 (5),0.1324 (4),
793564,hamada_nayel,0.0773 (5),0.2406 (4),0.2107 (4),0.0837 (5),
