submission_pk,User,bestDice,absDiffFG,diffFG,FgBgDice
1130809,lds,0.41 (15),9.82 (17),-9.80 (6),1.00 (1),
529606,Fr_AB,0.41 (17),9.79 (14),-9.78 (7),1.00 (2),
912958,awolny,0.42 (14),9.86 (18),-9.86 (5),1.00 (3),
717667,manan,0.41 (16),9.80 (15),-9.76 (8),1.00 (4),
536487,dliu5812,0.41 (18),9.92 (20),-9.92 (4),0.99 (5),
519588,ntkhoa,0.40 (20),9.89 (19),-9.61 (10),0.99 (6),
491960,anhtuanhsgs,0.41 (19),9.82 (16),-9.75 (9),0.99 (7),
457402,issamo,0.39 (21),9.97 (21),-9.61 (10),0.99 (8),
922508,Sandesh,0.54 (13),1.29 (6),0.12 (21),0.96 (9),
747364,dougpsg,0.90 (2),1.50 (8),-1.31 (15),0.95 (10),
872822,phirxian,0.76 (12),6.13 (12),3.56 (23),0.95 (11),
632734,yukinohana,0.87 (7),0.89 (1),0.09 (20),0.95 (12),
646369,wuzi,0.87 (6),0.90 (2),-0.13 (19),0.95 (13),
929087,Steven_Yuan,0.91 (1),1.12 (4),-0.95 (17),0.95 (14),
638987,looooong,0.86 (8),1.24 (5),-0.26 (18),0.94 (15),
747359,guoruohao,0.90 (3),1.36 (7),-1.21 (16),0.93 (16),
780066,grace_yi,0.85 (9),0.95 (3),0.21 (22),0.93 (17),
640375,LfB,0.88 (5),3.97 (10),-3.53 (14),0.92 (18),
533700,DanielWard,0.82 (11),3.95 (9),-3.84 (13),0.87 (19),
533684,UPGen,0.83 (10),4.02 (11),-3.94 (12),0.86 (20),
970682,sumin,0.90 (4),7.69 (13),-7.50 (11),0.72 (21),
1138330,annah,0.01 (25),144.89 (25),138.69 (24),0.53 (22),
478044,uslee,0.06 (24),10.83 (24),-10.83 (1),0.06 (23),
479025,thetweak,0.06 (22),10.76 (22),-10.76 (2),0.06 (24),
912519,jaweyl,0.06 (23),10.78 (23),-10.62 (3),0.06 (25),
submission_pk,User,bestDice,FgBgDice,diffFG,absDiffFG
1130809,lds,0.92 (5),1.00 (1),-1.03 (12),1.39 (8),
478044,uslee,0.87 (17),0.98 (2),-2.55 (6),2.61 (15),
529606,Fr_AB,0.92 (9),0.98 (3),-0.76 (13),1.00 (3),
912958,awolny,0.94 (2),0.98 (4),-2.03 (8),2.03 (11),
