submission_pk,User,DCF,EER
1142869,Strasbourg-Spk,0.0908 (1),1.6210 (1),
1138850,curisan,0.1005 (2),1.9220 (3),
1138847,rousju,0.1006 (3),1.9320 (4),
1138821,furu,0.1012 (4),1.9560 (6),
1145892,xgg006,0.1028 (5),1.9810 (7),
1138828,maluanwan2021,0.1028 (5),1.9890 (8),
966213,snowstar,0.1034 (6),1.8460 (2),
1138851,KristonAI,0.1037 (7),1.9530 (5),
1145272,caiqt,0.1043 (8),2.0220 (11),
1138809,katon,0.1064 (9),2.0060 (9),
1142885,xgg-z,0.1097 (10),2.1180 (12),
1141454,zhanggx,0.1159 (11),2.2750 (13),
966133,yugi,0.1175 (12),2.8400 (18),
1075431,svgame,0.1197 (13),2.0180 (10),
989430,UniSpeech2-Spk,0.1243 (14),2.4870 (14),
1114197,HMM,0.1417 (15),2.8620 (19),
965061,xiaolinlin,0.1489 (16),2.9350 (23),
963894,Maccio,0.1496 (17),3.0000 (24),
990834,Jenthe,0.1611 (18),2.8080 (16),
964083,ss1010,0.1670 (19),2.8750 (20),
964188,fxi,0.1674 (20),2.8860 (21),
966129,sgspk,0.1683 (21),2.8960 (22),
990811,JTBD,0.1690 (22),2.7830 (15),
964296,deg,0.1696 (23),2.8330 (17),
965263,SVD,0.1713 (24),3.0780 (25),
964739,xx205,0.1739 (25),3.1290 (26),
959150,Rissa,0.1790 (26),3.8340 (39),
964307,gazizullina2010,0.1793 (27),3.1530 (27),
965647,emmmm,0.1796 (28),3.4760 (31),
1026740,gmh2020,0.1871 (29),3.4270 (30),
958521,nideshaonian,0.1898 (30),4.0020 (40),
1141394,Fred_Zhao,0.1901 (31),3.5890 (33),
978372,unces,0.1954 (32),3.2740 (28),
1074744,gintautas_vu,0.1986 (33),3.3670 (29),
995667,shengyu,0.2009 (34),3.7150 (38),
965525,chl2,0.2025 (35),3.6430 (34),
961583,hellosid,0.2031 (36),3.5090 (32),
962251,Badlands,0.2057 (37),3.7120 (37),
958555,ab3007,0.2095 (38),3.6900 (35),
963873,zhaohuan,0.2133 (39),3.7080 (36),
958566,BOSS,0.2218 (40),4.2210 (43),
962144,Ares-UIBE,0.2243 (41),4.0910 (41),
1021843,RJ_Tao,0.2383 (42),4.3120 (44),
962248,musician,0.2415 (43),4.4570 (45),
953321,everyran,0.2550 (44),4.1940 (42),
957107,yong.chun,0.2620 (45),5.0040 (48),
965701,SunghwanMun,0.2794 (46),4.6180 (46),
962376,quangbd,0.2844 (47),5.2350 (53),
965929,qyhong,0.3026 (48),5.1270 (49),
959182,_2BeNo1_,0.3030 (49),4.9850 (47),
951410,hello_xgg,0.3033 (50),5.1350 (50),
965912,try_chuan,0.3041 (51),5.1400 (51),
961796,next,0.3119 (52),5.6040 (54),
958464,cdd,0.3189 (53),5.1690 (52),
1111335,bluehawk,0.3468 (54),6.1750 (56),
963612,Jaesung2,0.3512 (55),5.8750 (55),
950934,vgg_oxford,0.3512 (55),5.8750 (55),
1037481,Fsy,0.4894 (56),9.8440 (58),
963655,xuesongyan,0.5122 (57),8.1720 (57),
1108245,divinekage,0.8259 (58),23.0520 (59),
956313,deepkoti,0.9699 (59),34.7690 (60),
