submission_pk,User,score,Duration
503878,Mihir,22944.91 (4),102.12 (1),
498797,luvf,83907.11 (1),103.15 (2),
496119,camilo,22944.91 (4),167.18 (3),
623203,learning_rate,67913.35 (3),455.45 (4),
498302,GEIRINA_JSEPC_AI,83375.59 (2),481.60 (5),
