submission_pk,User,mIoU,ExecutionTime
1099280,yixinzhishui,0.455695 (1),139.471 (1),
1083078,liujiawei,0.448793 (2),115.460 (5),
1114578,Pope.Zheng,0.396411 (3),138.701 (2),
1116657,avinash_nesac,0.365607 (4),135.765 (3),
1014905,TeRunRunRun,0.278770 (5),121.141 (4),
1014798,PeterShi,0.000000 (6),0.000 (7),
1012662,BoDang,0.000000 (6),0.000 (6),
