submission_pk,User,<Rank>,nc_test_acc,nc_val_acc,nc_disk,nc_mem,nc_time,ni_test_acc,ni_val_acc,ni_disk,ni_mem,ni_time,nic_test_acc,nic_val_acc,nic_disk,nic_mem,nic_time
607072,ICT_VIPL,0.94 (1),0.99 (1),0.55 (3),0.00 (1),2700.29 (2),15.90 (11),0.95 (1),0.92 (2),0.00 (1),2766.35 (2),67.52 (16),0.90 (1),0.56 (2),0.00 (1),2767.43 (1),56.93 (6),
601923,mkimura,0.93 (2),0.95 (8),0.54 (11),0.00 (1),25871.73 (15),100.55 (22),0.94 (2),0.93 (1),0.00 (1),26268.43 (18),88.78 (18),0.89 (2),0.12 (13),0.00 (1),20272.10 (15),77.33 (9),
607646,UT_LG,0.92 (3),0.97 (5),0.55 (5),0.00 (1),16081.78 (5),40.60 (18),0.90 (4),0.91 (3),0.00 (1),10427.34 (3),121.96 (22),0.88 (4),0.55 (4),0.00 (1),17374.03 (13),129.69 (12),
607021,today,0.92 (4),0.92 (16),0.53 (15),0.00 (1),28636.23 (21),6.35 (6),0.00 (26),0.00 (26),- (2),- (26),- (26),0.00 (15),0.00 (20),- (2),- (20),- (20),
607580,yc14600,0.91 (5),0.97 (6),0.54 (8),0.00 (1),19167.67 (7),13.47 (10),0.89 (5),0.81 (9),0.00 (1),18342.86 (5),21.25 (10),0.89 (3),0.57 (1),0.00 (1),21571.89 (16),154.56 (15),
606470,JimiB,0.91 (6),0.95 (10),0.78 (1),0.00 (1),25536.75 (14),197.42 (24),0.91 (3),0.89 (4),0.00 (1),26876.58 (20),231.03 (25),0.87 (5),0.55 (3),0.00 (1),22109.78 (17),196.66 (17),
608048,MrGranddy,0.91 (7),0.94 (11),0.54 (12),0.00 (1),33306.54 (25),27.53 (14),0.88 (7),0.82 (8),0.00 (1),34031.11 (23),95.91 (20),0.00 (15),0.00 (20),- (2),- (20),- (20),
593886,liqi0816,0.91 (8),0.91 (17),0.52 (18),0.00 (2),29446.39 (24),8.78 (8),0.00 (26),0.00 (26),- (2),- (26),- (26),0.00 (15),0.00 (20),- (2),- (20),- (20),
607811,soony,0.89 (9),0.98 (2),0.55 (4),0.00 (1),17530.29 (6),111.98 (23),0.86 (9),0.85 (5),0.00 (1),36258.05 (24),167.82 (23),0.84 (7),0.54 (6),0.00 (1),13979.86 (11),150.40 (14),
608030,sahinyu,0.88 (10),0.00 (27),0.00 (26),- (3),- (27),- (27),0.88 (6),0.81 (10),0.00 (1),32719.50 (21),185.53 (24),0.00 (15),0.00 (20),- (2),- (20),- (20),
607741,jodelet,0.88 (11),0.97 (3),0.55 (6),0.00 (1),19215.45 (8),2.47 (1),0.84 (12),0.85 (6),0.00 (1),16009.20 (4),2.64 (2),0.83 (8),0.54 (7),0.00 (1),11348.84 (3),14.51 (3),
600675,Noobmaster,0.88 (12),0.95 (9),0.53 (13),0.00 (1),33662.37 (26),63.19 (21),0.85 (11),0.77 (14),0.00 (1),40371.23 (25),72.04 (17),0.85 (6),0.55 (5),0.00 (1),34897.92 (19),1895.95 (19),
606898,chungus,0.87 (13),0.00 (27),0.00 (26),- (3),- (27),- (27),0.87 (8),0.83 (7),0.00 (1),19311.49 (7),15.03 (8),0.00 (15),0.00 (20),- (2),- (20),- (20),
606195,oncelf,0.86 (14),0.00 (27),0.00 (26),- (3),- (27),- (27),0.86 (10),0.79 (11),0.00 (1),33616.06 (22),104.11 (21),0.00 (15),0.00 (20),- (2),- (20),- (20),
603191,dingwoai,0.82 (15),0.94 (12),0.54 (10),0.00 (1),25876.72 (16),11.94 (9),0.74 (16),0.77 (13),0.00 (1),20268.18 (8),10.73 (7),0.76 (9),0.53 (8),0.00 (1),16398.45 (12),64.19 (8),
606967,jun2tong,0.81 (16),0.97 (4),0.55 (7),0.00 (1),19857.21 (9),33.20 (17),0.84 (13),0.77 (12),0.00 (1),23862.11 (17),95.61 (19),0.63 (11),0.15 (12),0.00 (1),12225.79 (6),228.49 (18),
607142,Amir4CL,0.78 (17),0.93 (13),0.53 (14),0.00 (1),20143.93 (10),32.99 (16),0.64 (20),0.59 (19),0.00 (1),20884.96 (11),30.73 (11),0.00 (15),0.00 (20),- (2),- (20),- (20),
559378,vincenzo_lomonaco,0.75 (18),0.87 (19),0.51 (22),0.00 (1),28329.14 (20),4.49 (4),0.64 (19),0.56 (24),0.00 (1),21704.76 (13),3.79 (5),0.74 (10),0.50 (9),0.00 (1),19488.43 (14),60.32 (7),
608034,ghocquet,0.74 (19),0.93 (14),0.53 (17),0.00 (1),25318.86 (13),30.52 (15),0.66 (18),0.65 (17),0.00 (1),20375.63 (9),47.85 (13),0.62 (12),0.42 (10),0.00 (1),13514.45 (10),121.50 (11),
607109,Mkay,0.72 (20),0.65 (22),0.69 (2),0.00 (1),2726.77 (3),4.76 (5),0.80 (14),0.70 (15),0.00 (1),2202.07 (1),2.45 (1),0.00 (15),0.00 (20),- (2),- (20),- (20),
604579,HaoranZhu,0.58 (21),0.95 (7),0.54 (9),0.00 (1),28876.95 (23),53.45 (19),0.75 (15),0.69 (16),0.00 (1),22149.00 (16),60.70 (15),0.02 (14),0.02 (17),0.00 (1),13414.42 (9),14.69 (4),
