submission_pk,User,PSNR,SSIM,Runtime per image [s],CPU [1]/ GPU [0],Extra Data [1] / No Extra Data [0]
654847,leven,17.6035 (1),0.6198 (6),0.8000 (5),0.0 (2),1.0 (1),
654814,sabarinathan,17.0133 (11),0.3874 (23),10.4300 (1),1.0 (1),1.0 (1),
652123,peiyaoooo,13.4161 (24),0.4982 (21),0.0050 (11),0.0 (2),1.0 (1),
648827,kurita,16.2107 (18),0.5505 (18),2.5500 (2),1.0 (1),1.0 (1),
655326,neptuneai,16.4965 (16),0.5384 (19),0.1000 (6),0.0 (2),0.0 (2),
654838,Densen,17.1435 (6),0.6563 (1),0.0900 (7),0.0 (2),0.0 (2),
654250,ms007,17.0479 (10),0.6061 (8),1.0000 (4),0.0 (2),0.0 (2),
654236,ms_ipcv,17.1220 (8),0.5535 (16),0.0300 (8),0.0 (2),0.0 (2),
653687,hrishikeshps,17.3391 (3),0.6542 (2),0.0900 (7),0.0 (2),0.0 (2),
653332,recca,15.8629 (23),0.5665 (14),0.0100 (10),1.0 (1),0.0 (2),
653291,tongtong,16.1598 (20),0.5330 (20),0.0100 (10),1.0 (1),0.0 (2),
649601,akashdeepjassal,16.7403 (12),0.2972 (25),1.3436 (3),0.0 (2),0.0 (2),
649420,Airia_CG,17.1422 (7),0.6132 (7),0.0100 (10),0.0 (2),0.0 (2),
648869,zrfan,16.4247 (17),0.6513 (3),0.0000 (12),1.0 (1),0.0 (2),
648836,zhuyu_,16.5574 (14),0.5533 (17),0.0100 (10),0.0 (2),0.0 (2),
648831,SSSS,16.1756 (19),0.6207 (5),0.1000 (6),0.0 (2),0.0 (2),
648825,xiatianxiatian,16.0491 (22),0.5683 (13),0.1000 (6),0.0 (2),0.0 (2),
648493,souryadipta,17.5789 (2),0.5934 (11),0.0170 (9),0.0 (2),0.0 (2),
648823,mafifi,17.0771 (9),0.6322 (4),-1.0000 (13),-1.0 (3),-1.0 (3),
648770,Jaysss,11.3893 (25),0.3118 (24),-1.0000 (13),-1.0 (3),-1.0 (3),
648655,tomanut,16.5432 (15),0.5885 (12),-1.0000 (13),-1.0 (3),-1.0 (3),
648518,ZhiSong_Liu,17.2020 (5),0.5942 (10),-1.0000 (13),-1.0 (3),-1.0 (3),
648723,dddd,16.6185 (13),0.5631 (15),-1.0000 (13),-1.0 (3),-1.0 (3),
648504,cmsp-ct,17.2570 (4),0.6011 (9),-1.0000 (13),-1.0 (3),-1.0 (3),
648516,GGoo,16.0676 (21),0.3966 (22),-1.0000 (13),-1.0 (3),-1.0 (3),
