submission_pk,User,ROC-AUC
902194,linzhentao,0.6735 (1),
1132098,DF2022,0.6733 (2),
902556,yyyyyy,0.6727 (3),
1098613,malbahri,0.6314 (4),
1127287,csecudsg,0.5091 (5),
1024049,gsoykan,0.5025 (6),
