submission_pk,User,PSNR,SSIM,Runtime per image [s],CPU [1] / GPU [0],Extra Data [1] / No Extra Data [0]
655196,itb202d,21.954 (3),0.7788 (4),0.0150 (7),0.0 (2),0.0 (1),
654805,mo_ming,22.247 (1),0.7893 (1),0.0100 (8),1.0 (1),0.0 (1),
654758,egyptdj,21.709 (4),0.7868 (2),0.1000 (3),0.0 (2),0.0 (1),
654513,wataridori2010,21.475 (6),0.7807 (3),0.0780 (4),0.0 (2),0.0 (1),
653874,Airia_CG,20.995 (8),0.7680 (8),0.7400 (2),0.0 (2),0.0 (1),
653723,bhavya_vasudeva,21.138 (7),0.7758 (6),0.0299 (6),0.0 (2),0.0 (1),
653465,zhangzhilu,21.664 (5),0.7735 (7),1.0700 (1),0.0 (2),0.0 (1),
650446,qq12345678901234,21.968 (2),0.7784 (5),0.0100 (8),0.0 (2),0.0 (1),
644562,houbingxin,20.180 (9),0.7397 (9),0.0400 (5),0.0 (2),0.0 (1),
644273,bits_p,9.888 (10),0.5490 (10),0.0100 (8),0.0 (2),0.0 (1),
