submission_pk,User,MAP,MRR
676567,RefalMachine2,0.5858 (1),0.6241 (1),
579575,vvyadrincev,0.5163 (2),0.5506 (2),
569734,mkunilovskaya,0.4901 (3),0.5301 (3),
849372,vadim_bz,0.4275 (4),0.4572 (4),
739338,aleksei_pronkin,0.4218 (5),0.4521 (5),
567105,lilaspourpre,0.4210 (6),0.4518 (6),
575603,iamdenay,0.4208 (7),0.4512 (7),
739105,Igor_Karpikov,0.0928 (8),0.1019 (8),
