submission_pk,User,< Rank >,MCC,F1 BAD,F1 OK,Disk Footprint (Bytes),Model Params
940932,HW-TSC,1.60 (1),0.6058 (1),0.7029 (1),0.9016 (1),2243954093.0 (2),560944640.0 (3),
940854,sding,2.40 (2),0.5723 (2),0.6882 (2),0.8821 (2),6863178235.0 (4),484431872.0 (2),
940632,IST-Unbabel,3.20 (4),0.5700 (3),0.6871 (3),0.8800 (3),2294887576.0 (3),569368609.0 (4),
940578,fblain,2.80 (3),0.4610 (4),0.5887 (4),0.8691 (4),1142441796.0 (1),281297685.0 (1),
submission_pk,User,< Rank >,MCC,F1 BAD,F1 OK,Disk Footprint (Bytes),Model Params
940932,HW-TSC,2.20 (1),0.3115 (1),0.3341 (1),0.9688 (4),2243954093.0 (2),560944640.0 (3),
940632,IST-Unbabel,2.80 (4),0.2541 (2),0.2714 (2),0.9774 (3),2294887576.0 (3),569368609.0 (4),
940854,sding,2.60 (3),0.2179 (3),0.2134 (3),0.9798 (1),6863178235.0 (4),484431872.0 (2),
940578,fblain,2.40 (2),0.1357 (4),0.1351 (4),0.9786 (2),1142441796.0 (1),281297685.0 (1),
submission_pk,User,< Rank >,MCC,F1 BAD,F1 OK,Disk Footprint (Bytes),Model Params
940932,HW-TSC,1.80 (1),0.5490 (1),0.6501 (1),0.8987 (1),2243954093.0 (3),560944640.0 (3),
940632,IST-Unbabel,2.80 (3),0.5222 (2),0.6333 (2),0.8852 (2),2294887576.0 (4),569368609.0 (4),
940578,fblain,2.60 (2),0.4050 (3),0.5223 (3),0.8790 (3),1142441796.0 (2),281297685.0 (2),
940854,sding,2.80 (3),0.0000 (4),0.0000 (4),0.0000 (4),0.0 (1),0.0 (1),
