submission_pk,User,F1,Precision,Recall
612278,nperez,0.666 (1),0.679 (2),0.652 (1),
612283,smedina,0.627 (2),0.627 (5),0.626 (2),
612279,UH-MAJA-KD,0.625 (3),0.635 (4),0.616 (3),
612282,OSainz,0.557 (4),0.580 (6),0.537 (4),
612281,jpconsuegra,0.557 (5),0.716 (1),0.456 (5),
612274,plubeda,0.421 (6),0.651 (3),0.311 (7),
612275,ssantana005,0.395 (7),0.458 (7),0.347 (6),
612273,tass18-task3,0.395 (7),0.458 (7),0.347 (6),
612277,Zainab,0.246 (8),0.313 (8),0.202 (8),
submission_pk,User,F1,Precision,Recall
612274,plubeda,0.825 (1),0.845 (1),0.807 (4),
612278,nperez,0.821 (2),0.822 (3),0.820 (2),
612283,smedina,0.816 (3),0.807 (5),0.825 (1),
612279,UH-MAJA-KD,0.814 (4),0.820 (4),0.808 (3),
612281,jpconsuegra,0.795 (5),0.825 (2),0.767 (5),
612282,OSainz,0.692 (6),0.727 (6),0.660 (6),
612275,ssantana005,0.542 (7),0.504 (7),0.586 (7),
612273,tass18-task3,0.542 (7),0.504 (7),0.586 (7),
612277,Zainab,0.314 (8),0.292 (8),0.340 (8),
submission_pk,User,F1,Precision,Recall
612282,OSainz,0.633 (1),0.648 (3),0.619 (1),
612279,UH-MAJA-KD,0.599 (2),0.629 (5),0.571 (2),
612278,nperez,0.583 (3),0.672 (2),0.515 (4),
612283,smedina,0.575 (4),0.647 (4),0.517 (3),
612281,jpconsuegra,0.545 (5),0.682 (1),0.454 (5),
612274,plubeda,0.462 (6),0.627 (6),0.365 (6),
612275,ssantana005,0.316 (7),0.328 (8),0.306 (7),
612277,Zainab,0.131 (8),0.527 (7),0.075 (8),
612273,tass18-task3,0.131 (8),0.527 (7),0.075 (8),
submission_pk,User,F1,Precision,Recall
612283,smedina,0.584 (1),0.605 (4),0.564 (1),
612278,nperez,0.563 (2),0.594 (5),0.536 (2),
612279,UH-MAJA-KD,0.548 (3),0.608 (3),0.498 (3),
612282,OSainz,0.479 (4),0.563 (6),0.416 (4),
612281,jpconsuegra,0.373 (5),0.727 (1),0.251 (5),
612274,plubeda,0.281 (6),0.626 (2),0.181 (6),
612275,ssantana005,0.138 (7),0.282 (7),0.091 (7),
612273,tass18-task3,0.138 (7),0.282 (7),0.091 (7),
612277,Zainab,0.122 (8),0.253 (8),0.081 (8),
