submission_pk,User,mIoU,ExecutionTime
1104200,liujiawei,0.483245 (1),109.274 (3),
1095452,yixinzhishui,0.473921 (2),96.669 (5),
1023789,Linshan,0.438521 (3),88.821 (6),
1020930,kingdrone,0.413235 (4),122.306 (2),
1105005,Pope.Zheng,0.397758 (5),131.097 (1),
1011927,PeterShi,0.050958 (6),105.992 (4),
