submission_pk,User,Prediction
827559,AsheLee,0.6772 (1),
827166,tulilin,0.6657 (2),
827713,baoqianyue,0.6445 (3),
827712,EVER,0.6435 (4),
827493,xmj,0.6139 (5),
827710,BoDang,0.6089 (6),
827619,lixinwei,0.6089 (6),
824159,nywyy,0.5971 (7),
826756,STUKA,0.5737 (8),
824705,Hots,0.5469 (9),
826120,TaTa_yh,0.5454 (10),
825021,SuperGeoAI,0.5186 (11),
827699,thang,0.4338 (12),
825182,Linshan,0.4336 (13),
825178,Whu_DHH,0.3981 (14),
823443,calebrob6,0.1063 (15),
