submission_pk,User,Click Log Loss,Improvement vs Naive (%),Degradation vs Oracle (%)
926403,eddie77,10000.000000 (16),-38542532.70 (16),-58210714.29 (16),
926114,zouwuhe,10000.000000 (16),-38542532.70 (16),-58210714.29 (16),
925621,humeilZeo1,10000.000000 (16),-38542532.70 (16),-58210714.29 (16),
923675,tetelias,10000.000000 (16),-38542532.70 (16),-58210714.29 (16),
922365,ek,10000.000000 (16),-38542532.70 (16),-58210714.29 (16),
920903,biz00bask,10000.000000 (16),-38542532.70 (16),-58210714.29 (16),
918714,timlou,10000.000000 (16),-38542532.70 (16),-58210714.29 (16),
917854,aflatoon,10000.000000 (16),-38542532.70 (16),-58210714.29 (16),
916675,MukundS,10000.000000 (16),-38542532.70 (16),-58210714.29 (16),
915906,rookie102,10000.000000 (16),-38542532.70 (16),-58210714.29 (16),
913904,sriramv,10000.000000 (16),-38542532.70 (16),-58210714.29 (16),
906458,owruby,10000.000000 (16),-38542532.70 (16),-58210714.29 (16),
902509,vadim,10000.000000 (16),-38542532.70 (16),-58210714.29 (16),
901260,Shardb,10000.000000 (16),-38542532.70 (16),-58210714.29 (16),
899837,david-dobrinskiy,10000.000000 (16),-38542532.70 (16),-58210714.29 (16),
898488,shoelace,10000.000000 (16),-38542532.70 (16),-58210714.29 (16),
898088,BerniceLim,10000.000000 (16),-38542532.70 (16),-58210714.29 (16),
896092,boel,10000.000000 (16),-38542532.70 (16),-58210714.29 (16),
892358,learner,10000.000000 (16),-38542532.70 (16),-58210714.29 (16),
891079,ber2,10000.000000 (16),-38542532.70 (16),-58210714.29 (16),
890365,ztskyer,10000.000000 (16),-38542532.70 (16),-58210714.29 (16),
890055,Adnan00,10000.000000 (16),-38542532.70 (16),-58210714.29 (16),
890036,HugorHill,10000.000000 (16),-38542532.70 (16),-58210714.29 (16),
