submission_pk,User,AP@0.50,AP@0.25,AP@0.75
542642,wrona,0.739548 (1),0.799688 (1),0.473172 (1),
543372,xxxxxx,0.649739 (2),0.674606 (2),0.389573 (3),
543244,Mingbo_Hong,0.645304 (3),0.673418 (3),0.392534 (2),
540091,IPHD_baselines,0.343263 (4),0.455155 (5),0.099174 (4),
539751,tteepe,0.270727 (5),0.439271 (6),0.073256 (5),
542675,lukaz,0.259817 (6),0.594907 (4),0.004699 (6),
