submission_pk,User,RE_ignore_annotated_F1,RE_ignore_distant_F1,RE_F1,Evi_F1
753428,huadw2012,0.581 (82),0.536 (84),0.605 (78),0.000 (30),
1049066,Navy_Innovator,0.581 (83),0.540 (80),0.602 (83),0.000 (30),
680638,deepblue,0.580 (84),0.542 (75),0.599 (89),0.327 (22),
982171,Mr,0.579 (85),0.538 (81),0.602 (84),0.000 (30),
727085,frankluodark,0.579 (86),0.536 (85),0.601 (86),0.326 (23),
704403,dhz,0.579 (87),0.537 (83),0.601 (85),0.000 (30),
588677,BERTCoref,0.577 (88),0.534 (89),0.599 (90),0.000 (30),
1024316,qijimrc,0.576 (89),0.532 (92),0.600 (87),0.000 (30),
888198,Solaris99,0.576 (90),0.534 (90),0.598 (93),0.000 (30),
1126075,ngnvnhng,0.575 (91),0.536 (86),0.594 (97),0.000 (30),
1115620,detwang,0.575 (92),0.529 (97),0.600 (88),0.000 (30),
549950,zhongerqiandan,0.574 (93),0.535 (88),0.595 (96),0.442 (15),
1014753,xywang,0.573 (94),0.530 (95),0.597 (94),0.000 (30),
866089,YoupingFan,0.573 (95),0.526 (102),0.598 (91),0.000 (30),
913032,jojo123,0.573 (96),0.526 (101),0.598 (92),0.000 (30),
682386,agent,0.571 (97),0.524 (103),0.597 (95),0.000 (30),
978804,XXR,0.571 (98),0.529 (96),0.593 (98),0.000 (30),
1040567,RSAN_jxjx,0.570 (99),0.528 (98),0.593 (99),0.000 (30),
520846,diskorak,0.570 (100),0.532 (93),0.590 (101),0.322 (24),
762197,Jayson,0.568 (101),0.524 (104),0.590 (103),0.000 (30),
706153,HaoPeng,0.567 (102),0.523 (105),0.591 (100),0.000 (30),
1134237,YushengHuang,0.566 (103),0.531 (94),0.586 (106),0.000 (30),
875227,zyl,0.566 (104),0.528 (99),0.587 (105),0.000 (30),
1042174,liuhf,0.566 (105),0.527 (100),0.586 (107),0.000 (30),
833488,kgre,0.566 (106),0.523 (106),0.588 (104),0.000 (30),
615911,rice_orz,0.565 (107),0.515 (113),0.590 (102),0.277 (28),
587593,jzhahaha,0.560 (108),0.518 (107),0.583 (111),0.000 (30),
580288,grape,0.560 (109),0.517 (108),0.584 (108),0.499 (7),
711991,sunchenk,0.558 (110),0.515 (114),0.581 (112),0.000 (30),
1060405,mofei,0.558 (111),0.512 (115),0.584 (109),0.000 (30),
1096313,wyldream,0.557 (112),0.507 (121),0.583 (110),0.000 (30),
588352,panjiaxin,0.554 (113),0.511 (118),0.578 (113),0.000 (30),
1095122,Prac,0.554 (114),0.515 (110),0.574 (115),0.000 (30),
711617,tuanlai245,0.554 (115),0.515 (111),0.574 (116),0.000 (30),
525444,jxbbhc123,0.552 (116),0.511 (116),0.574 (114),0.000 (30),
871510,YunBang,0.551 (117),0.516 (109),0.570 (119),0.000 (30),
933010,cm5105,0.550 (118),0.511 (117),0.573 (117),0.000 (30),
711089,yiyiyi,0.550 (119),0.515 (112),0.568 (123),0.000 (30),
847352,JXSY,0.550 (120),0.507 (122),0.568 (122),0.000 (30),
555020,hxy8149989,0.549 (121),0.511 (119),0.571 (118),0.000 (30),
737886,daipeng,0.546 (122),0.509 (120),0.565 (128),0.000 (30),
990512,hzh1998,0.546 (123),0.505 (123),0.569 (120),0.000 (30),
1063420,LuoZhengxin,0.545 (124),0.504 (126),0.569 (121),0.317 (25),
803141,Raincleared_Sunny,0.544 (125),0.503 (128),0.564 (132),0.000 (30),
519134,nbharaths,0.544 (126),0.504 (124),0.567 (125),0.000 (30),
934915,hrk,0.543 (127),0.503 (127),0.565 (130),0.000 (30),
991602,EricDoug,0.543 (128),0.503 (130),0.566 (126),0.000 (30),
506913,christoph.alt,0.543 (129),0.495 (137),0.567 (124),0.000 (30),
1015569,pxy,0.542 (130),0.500 (131),0.565 (127),0.000 (30),
1014592,chen111,0.541 (131),0.499 (133),0.565 (129),0.000 (30),
932566,arclabs001,0.541 (132),0.503 (129),0.564 (131),0.000 (30),
518751,TuoGeGe,0.538 (133),0.496 (136),0.560 (135),0.000 (30),
641240,Doc,0.537 (134),0.504 (125),0.553 (142),0.311 (26),
513857,THZ,0.537 (135),0.498 (134),0.556 (138),0.000 (30),
507051,pink,0.537 (136),0.493 (139),0.559 (136),0.477 (8),
1121473,liyj0913,0.536 (137),0.488 (143),0.564 (133),0.000 (30),
710557,yzhan238,0.534 (138),0.497 (135),0.555 (140),0.000 (30),
714948,h-peng17,0.534 (139),0.484 (148),0.560 (134),0.000 (30),
524777,CODE,0.531 (140),0.495 (138),0.551 (145),0.000 (30),
524860,tw_2858,0.530 (141),0.488 (142),0.554 (141),0.000 (30),
505470,qweer28,0.529 (142),0.479 (156),0.558 (137),0.472 (9),
537053,maixiaomai,0.528 (143),0.479 (155),0.556 (139),0.000 (30),
719200,quzhe,0.528 (144),0.489 (140),0.551 (146),0.000 (30),
723546,blue2000,0.526 (145),0.481 (153),0.552 (143),0.000 (30),
505852,wangqy96,0.525 (146),0.486 (145),0.547 (151),0.462 (12),
505970,lim,0.524 (147),0.487 (144),0.545 (155),0.460 (13),
712734,AngryBirds,0.524 (148),0.484 (147),0.546 (153),0.463 (10),
518215,yexu_i,0.523 (149),0.481 (154),0.548 (149),0.000 (30),
505430,pflyyu,0.523 (150),0.482 (151),0.547 (152),0.462 (11),
554561,monkeyeatbanana,0.522 (151),0.499 (132),0.535 (160),0.000 (30),
986432,Susmit_Mishra,0.522 (152),0.482 (150),0.545 (154),0.000 (30),
520092,testara,0.522 (153),0.484 (146),0.542 (157),0.000 (30),
505803,hywen,0.521 (154),0.482 (152),0.543 (156),0.433 (21),
1121548,wjy37,0.520 (155),0.464 (160),0.552 (144),0.000 (30),
508311,fangguo1,0.519 (156),0.467 (157),0.549 (147),0.000 (30),
507851,koga,0.519 (157),0.458 (163),0.548 (148),0.000 (30),
678127,nwboss,0.518 (158),0.482 (149),0.538 (158),0.305 (27),
1121468,FakeMaker,0.518 (159),0.467 (158),0.547 (150),0.000 (30),
949132,beiwei30,0.511 (160),0.488 (141),0.522 (165),0.000 (30),
508887,xiaoman6,0.506 (161),0.452 (165),0.537 (159),0.452 (14),
507347,qizeng,0.504 (162),0.450 (167),0.535 (161),0.000 (30),
615889,liyinghui,0.499 (163),0.459 (161),0.520 (167),0.435 (19),
711525,shengyuf,0.498 (164),0.466 (159),0.517 (169),0.000 (30),
507519,TXX,0.497 (165),0.454 (164),0.520 (166),0.000 (30),
518331,hzge,0.497 (166),0.459 (162),0.518 (168),0.000 (30),
711801,yunanzhang,0.496 (167),0.440 (178),0.528 (162),0.000 (30),
507478,bran,0.494 (168),0.440 (179),0.526 (163),0.000 (30),
758161,jwh7337,0.494 (169),0.443 (176),0.523 (164),0.000 (30),
507380,jiaqi,0.492 (170),0.451 (166),0.512 (170),0.184 (29),
518541,DemingYe,0.488 (171),0.446 (170),0.511 (171),0.438 (17),
528988,doctrier,0.487 (172),0.447 (169),0.509 (172),0.000 (30),
711607,parsing_party,0.486 (173),0.444 (172),0.508 (173),0.000 (30),
504578,jatinarora2702,0.485 (174),0.444 (174),0.507 (174),0.438 (16),
505957,xuanwang,0.484 (175),0.444 (171),0.506 (177),0.434 (20),
504861,hding,0.484 (176),0.443 (175),0.506 (178),0.000 (30),
504840,shali0173,0.483 (177),0.444 (173),0.504 (180),0.000 (30),
507509,haoranz6,0.483 (178),0.439 (180),0.507 (175),0.000 (30),
698627,Zhenhailong,0.482 (179),0.442 (177),0.504 (179),0.000 (30),
533757,wangbq,0.482 (180),0.436 (181),0.507 (176),0.438 (18),
847551,Gaobin,0.482 (181),0.450 (168),0.498 (182),0.000 (30),
1121696,evelyn_edu2022,0.466 (182),0.402 (182),0.502 (181),0.000 (30),
934704,zdy177,0.443 (183),0.380 (183),0.481 (183),0.000 (30),
1063206,heaven_bird,0.412 (184),0.346 (185),0.450 (184),0.000 (30),
1121705,aimi_61,0.400 (185),0.362 (184),0.429 (185),0.000 (30),
924235,heimaozidew,0.257 (186),0.212 (186),0.289 (186),0.000 (30),
774176,liuliu,0.162 (187),0.128 (187),0.181 (187),0.000 (30),
912031,mklimasz,0.002 (188),0.001 (189),0.002 (188),0.000 (30),
1063517,JKsama,0.002 (189),0.002 (188),0.002 (189),0.000 (30),
1121601,flanneryxiao,0.001 (190),0.001 (190),0.001 (190),0.000 (30),
1130179,xuezhou,0.001 (191),0.001 (191),0.001 (191),0.000 (30),
1116032,sumerry,0.001 (192),0.001 (192),0.001 (192),0.000 (30),
1063353,Kanra,0.001 (193),0.001 (193),0.001 (193),0.000 (30),
933838,JIAQINGXIE,0.001 (193),0.001 (193),0.001 (193),0.000 (30),
989666,feisen9,0.001 (194),0.001 (194),0.001 (194),0.000 (30),
1119894,xcy,0.001 (195),0.000 (195),0.001 (195),0.000 (30),
1121299,marchwe7g,0.000 (196),0.000 (196),0.000 (196),0.000 (30),
1014263,Crystal,0.000 (196),0.000 (196),0.000 (196),0.000 (30),
956382,lisun,0.000 (196),0.000 (196),0.000 (196),0.000 (30),
