submission_pk,User,correct
770776,AlexFocus,37.850000 (1),
845625,albarji,37.200000 (2),
846415,alejandro.vaca,32.630000 (3),
846336,jaisenbe58r,31.930000 (4),
820509,hcordobes,31.380000 (5),
809534,alison,30.300000 (6),
819501,javic,28.000000 (7),
845649,smaximo,22.280000 (8),
802921,aduque,21.100000 (9),
764445,t4l4v4nt3,19.030000 (10),
835820,Rusticus,18.310000 (11),
846075,TetraoUrogallus,18.230000 (12),
766459,lluissalord,16.390000 (13),
765614,gonesbuyo,16.300000 (14),
839686,fermeck,14.430000 (15),
786229,cyberosa,14.250000 (16),
761884,jazielinho,14.090000 (17),
768094,jregidor,13.880000 (18),
766234,felipenunezb,13.010000 (19),
814989,aasensioramos,10.710000 (20),
812317,tr3cks,9.650000 (21),
806692,edumunozsala,9.090000 (22),
830413,Krilin,8.880000 (23),
770358,qwerteleven,5.480000 (24),
832306,opione,5.270000 (25),
807906,DustAI,5.140000 (26),
787037,nicobernasconi,4.930000 (27),
777173,esceptico69,4.790000 (28),
