submission_pk,User,Accuracy
514768,Nyquist,5.0000 (1),
514764,UniUrboss,5.0000 (1),
514763,PHEY,5.0000 (1),
514760,Delu,5.0000 (1),
514755,TheStonks,5.0000 (1),
514771,FedeOx,4.0000 (2),
514759,MartinaC,4.0000 (2),
514751,AFR,4.0000 (2),
514761,Rated-E,3.0000 (3),
514756,Marcello,3.0000 (3),
514754,SPM,3.0000 (3),
514752,Johnn,3.0000 (3),
514767,albi_pagno,2.0000 (4),
514766,crocco,2.0000 (4),
514753,SpaceMonkeys,2.0000 (4),
514770,prisca-magadjou,1.0000 (5),
514765,PartTimeTeam,1.0000 (5),
514769,Bazinga,0.0000 (6),
514757,serendipity,0.0000 (6),
