submission_pk,User,correct
439172,rc_trailer,0.8413 (1),
439180,BananaTree,0.8395 (2),
439161,guidoz,0.8227 (3),
439178,jiangnan,0.8091 (4),
439179,minerva,0.8048 (5),
439169,mingyan,0.7994 (6),
439185,jogonba2,0.7497 (7),
439182,YNU_Deep,0.7472 (8),
439170,lyb3b,0.7437 (9),
439187,lanman,0.7311 (10),
439175,ahashi_syuu,0.7294 (11),
439176,okovaleva,0.7283 (12),
439174,HPCC,0.7143 (13),
439168,deepanway,0.7111 (14),
439184,tocab100,0.7008 (15),
439165,dshaprin,0.6850 (16),
439164,tonyjiang,0.6310 (17),
439177,inno_nlp_project,0.6135 (18),
439166,saradhix,0.5978 (19),
439181,jizx,0.5835 (20),
439163,rafat.islam,0.5420 (21),
439183,sandipsarkar.ju,0.5227 (22),
439186,USDU,0.5077 (23),
439171,YNU_AI1799,0.2928 (24),
