submission_pk,User,EER
1060603,Anonymous,8.3 (1),
1061735,Anonymous,8.6 (2),
1061892,Anonymous,9.1 (3),
1061743,Anonymous,9.5 (4),
1061865,Anonymous,9.5 (5),
1061866,Anonymous,9.9 (6),
1061900,Anonymous,9.9 (7),
1060900,Anonymous,10.6 (8),
1061773,Anonymous,12.0 (9),
1061022,Anonymous,13.9 (10),
1061041,Anonymous,14.1 (11),
1057976,Anonymous,14.5 (12),
1057695,Anonymous,15.1 (13),
1061342,Anonymous,16.2 (14),
1061878,Anonymous,18.8 (15),
1059202,Anonymous,19.7 (16),
1061006,Anonymous,20.1 (17),
1058574,Anonymous,20.3 (18),
1056757,Anonymous,20.7 (19),
1060264,Anonymous,20.7 (20),
1058939,Anonymous,21.3 (21),
1061014,Anonymous,21.6 (22),
1060684,Anonymous,24.2 (23),
1061531,Anonymous,24.3 (24),
1060085,Anonymous,24.4 (25),
1061248,Anonymous,24.5 (26),
1058084,Anonymous,27.3 (27),
1061373,Anonymous,28.2 (28),
1061802,Anonymous,28.6 (29),
1060782,Anonymous,32.3 (30),
1060370,Anonymous,50.5 (31),
1056927,Anonymous,51.0 (32),
