submission_pk,User,score,Computation time
1099981,demondemo,65.09 (1),202.99 (26),
620879,solpino,62.05 (2),290.18 (27),
664182,qiu_o,57.79 (3),83.42 (20),
647131,shhong,56.13 (4),129.76 (23),
636727,zenghsh3,48.90 (5),398.05 (29),
622024,djmax008,36.17 (6),189.01 (25),
651368,daisy123,35.68 (7),108.35 (21),
647141,BDonnot,15.75 (8),156.05 (24),
661676,hzS,1.78 (9),67.23 (19),
1029472,yongjianluo,0.00 (10),0.16 (3),
989478,zhangt18,0.00 (10),0.20 (11),
912539,halbupt,0.00 (10),0.20 (10),
675129,Sandbox_Monster,0.00 (10),109.31 (22),
668248,bwitherspoon,0.00 (10),0.16 (4),
645427,Hunter_Tracer,0.00 (10),0.18 (8),
643862,Franz-Schubert,0.00 (10),0.18 (9),
641904,tanzeyy,0.00 (10),0.17 (6),
626948,dexhunter,0.00 (10),0.17 (5),
624923,AlphaPro,0.00 (10),0.17 (7),
621460,amarot,0.00 (10),0.15 (2),
646981,xinzhixu,-0.58 (11),596.32 (30),
672494,PowerOfEvil,-1.17 (12),301.11 (28),
623582,pwdemars,-25.66 (13),4.18 (17),
713858,restless,-79.86 (14),20.04 (18),
679913,alexto,-89.09 (15),3.12 (15),
687341,ZSW,-92.36 (16),3.35 (16),
710229,songyu,-93.21 (17),1.38 (14),
660806,mwasserer,-94.16 (18),0.29 (12),
720957,thuml_l2rpn,-95.40 (19),0.75 (13),
1146430,learning_rate,-100.00 (20),0.00 (1),
662917,jnznn96,-100.00 (20),0.00 (1),
639479,Kwazii,-100.00 (20),0.00 (1),
635335,joeljosephjin,-100.00 (20),0.00 (1),
629242,Teelfe,-100.00 (20),0.00 (1),
622010,sunsky,-100.00 (20),0.00 (1),
620479,roksikonja,-100.00 (20),0.00 (1),
