submission_pk,User,Pearson r,MAE,RMSE
652765,NiuTrans,0.9165 (1),0.5825 (10),0.6914 (10),
652509,tharindu,0.9082 (2),0.3003 (3),0.3920 (2),
650267,ssun32,0.9062 (3),0.2808 (1),0.3876 (1),
678712,jxnu_hxm,0.8985 (4),0.3137 (4),0.4095 (3),
651632,TMUOU,0.8958 (5),0.2939 (2),0.4141 (4),
652612,Joao1996,0.8906 (6),0.3984 (6),0.5304 (6),
642566,xc2019,0.8824 (7),0.5561 (9),0.6610 (9),
646398,Shrangin,0.8459 (8),0.7268 (11),1.0090 (12),
652675,mhkane_225,0.8210 (9),0.3928 (5),0.5204 (5),
652193,LisaIan,0.7958 (10),0.4377 (7),0.5539 (7),
652400,ddk,0.7081 (11),0.5077 (8),0.6545 (8),
651962,mfomicheva,0.6929 (12),0.9940 (15),1.1318 (14),
600503,fblain,0.6845 (13),0.7596 (13),1.0522 (13),
756856,bicici,0.6517 (14),0.7317 (12),0.9391 (11),
651977,leizhou,0.6502 (15),0.8402 (14),1.1744 (15),
