submission_pk,User,AverageF1,AverageR,Accuracy
387684,SamB,0.76700 (1),0.76800 (1),0.77000 (1),
387682,lhurtado,0.72400 (2),0.72100 (2),0.73400 (2),
387683,ramybaly,0.67800 (3),0.68700 (4),0.67900 (3),
387685,sarah,0.67000 (4),0.69300 (3),0.67200 (4),
387681,seirasto,0.36200 (5),0.50000 (5),0.56600 (5),
