submission_pk,User,MAE (mean),MAE (sd),Time,Data Type
598329,codabench_4,0.0240 (1),0.0046 (2),1581.30 (6),2.0 (2),
592046,codabench_3,0.0370 (2),0.0101 (4),169.56 (3),1.0 (3),
592054,codabench_1,0.0569 (3),0.0112 (6),25.56 (2),2.0 (2),
592049,codabench_5,0.0581 (4),0.0150 (7),25.38 (1),2.0 (2),
598327,codabench_2,0.0665 (5),0.0110 (5),1795.14 (7),1.0 (3),
598331,codabench_6,0.0803 (6),0.0037 (1),214.20 (4),3.0 (1),
592043,codabench_9,0.1215 (7),0.0067 (3),945.00 (5),1.0 (3),
