submission_pk,User,MSE,SAD,Grad,Conn
907492,cians,0.0019 (1),13.0033 (19),10.0736 (1),8.8748 (23),
907177,maple5724,0.0023 (2),10.7519 (2),11.1057 (7),7.0989 (12),
907300,Joker_Lu,0.0023 (3),11.2264 (8),10.6036 (2),7.2195 (15),
907594,nj_lab,0.0023 (4),11.8059 (16),10.6751 (3),7.6315 (19),
907582,jieson_zheng,0.0023 (5),10.6831 (1),11.0890 (6),6.7808 (1),
907627,wxleqi,0.0023 (6),10.7938 (3),11.6061 (13),6.9669 (8),
907411,wg1234567p,0.0024 (7),11.3447 (9),10.7325 (5),7.3176 (16),
907743,Wowww,0.0024 (8),11.2052 (6),11.6320 (14),7.4333 (18),
907774,choiron,0.0025 (9),11.5689 (12),12.0680 (21),7.8203 (20),
907607,LAT_AI,0.0026 (10),11.4206 (10),11.6056 (12),6.9943 (9),
906568,hzcxq,0.0026 (11),11.2241 (7),11.4307 (10),7.0603 (11),
905072,baky1983,0.0026 (12),10.9055 (4),12.1691 (22),6.9500 (7),
905997,DISL,0.0026 (13),11.1023 (5),11.9431 (19),6.8807 (4),
906957,wangbofei,0.0026 (14),11.6947 (15),10.6770 (4),7.4127 (17),
907358,ivison,0.0027 (15),11.9083 (17),11.3391 (8),7.8958 (21),
907359,FlyTiger,0.0028 (16),11.4413 (11),11.6895 (16),7.0518 (10),
907672,hk_hk,0.0029 (17),14.4724 (21),12.2591 (24),9.4564 (26),
907703,hk123,0.0029 (18),14.9652 (24),12.2471 (23),10.0324 (28),
907524,yangjituan,0.0029 (19),14.8388 (23),12.2910 (25),9.7742 (27),
905926,jjl,0.0030 (20),11.6849 (14),11.8435 (18),6.9346 (6),
907656,Hongkong123,0.0030 (21),14.9887 (25),11.3499 (9),10.3347 (30),
902751,ztelily,0.0033 (22),11.6347 (13),15.8582 (34),6.8605 (2),
902314,Finn_zhang,0.0035 (23),12.0106 (18),16.4398 (35),7.1892 (14),
904324,luojian,0.0035 (24),16.1418 (27),13.1502 (29),10.7871 (36),
907635,YYYiii,0.0035 (25),15.7394 (26),11.5253 (11),9.4522 (25),
907434,mobiuslqm,0.0036 (26),16.5868 (28),12.6658 (27),10.4486 (32),
907617,jqxx,0.0037 (27),17.1971 (29),11.7762 (17),11.0838 (38),
907633,naver_naver,0.0044 (28),18.1558 (30),13.2671 (31),10.5578 (33),
907460,naver,0.0045 (29),18.4762 (32),13.2327 (30),10.7162 (35),
900197,WuliLaoWang,0.0046 (30),14.1135 (20),20.1326 (38),7.1543 (13),
907444,QingmingLiu,0.0047 (31),18.3179 (31),12.9058 (28),10.4365 (31),
900268,tintinitn,0.0048 (32),14.7395 (22),22.2800 (39),6.9139 (5),
901311,Caozx,0.0056 (33),18.4979 (33),12.4708 (26),8.4788 (22),
907511,cving,0.0066 (34),23.7230 (37),11.6481 (15),10.5778 (34),
900720,cpwan,0.0077 (35),24.7960 (38),11.9595 (20),10.0521 (29),
907330,uncontrolbear,0.0079 (36),22.8985 (35),14.1624 (33),8.8954 (24),
907356,hcy1234,0.0082 (37),20.0755 (34),26.8689 (40),6.8736 (3),
905933,mfang,0.0088 (38),23.1449 (36),16.9071 (36),10.8216 (37),
907333,maooo,0.0110 (39),32.4737 (39),13.4213 (32),16.4457 (39),
906246,Wayne33,0.0374 (40),77.2575 (40),19.5336 (37),33.5135 (40),
