submission_pk,User,PSNR,SSIM,Runtime per image [s],CPU [1] / GPU [0],Extra Data [1] / No Extra Data [0]
655493,memelvin99,23.4463 (15),0.8412 (16),10.4300 (1),1.0 (1),1.0 (1),
655106,Minnu,23.6191 (13),0.8650 (13),10.4300 (1),1.0 (1),1.0 (1),
655011,SaagaraMB,23.5730 (14),0.8647 (14),10.4300 (1),1.0 (1),1.0 (1),
653511,Sanjana.A.R,20.8565 (21),0.8452 (15),10.4300 (1),1.0 (1),1.0 (1),
650720,Densen,20.8565 (21),0.8452 (15),0.0600 (10),0.0 (2),1.0 (1),
639079,sabarinathan,23.0575 (16),0.8107 (19),1.4300 (5),1.0 (1),1.0 (1),
1145692,kgeorgid2,24.4872 (10),0.8735 (12),1.5880 (4),1.0 (1),0.0 (2),
1130102,kgeorgid,21.5211 (19),0.7289 (21),1.3350 (7),1.0 (1),0.0 (2),
656462,ms_ipcv,24.7054 (4),0.8848 (7),10.0000 (2),1.0 (1),0.0 (2),
656396,tensorcat,24.3071 (11),0.8794 (9),0.0170 (12),0.0 (2),0.0 (2),
656387,souryadipta,24.3071 (11),0.8794 (9),0.0170 (12),0.0 (2),0.0 (2),
655995,neptuneai,22.3282 (18),0.8212 (18),0.2150 (9),0.0 (2),0.0 (2),
654266,MingQian,24.6116 (8),0.8762 (10),0.3000 (8),0.0 (2),0.0 (2),
648109,prachi_agrawal,20.0701 (22),0.7575 (20),-1.0000 (13),1.0 (1),0.0 (2),
647960,xuehuapiaopiao,24.6693 (7),0.8867 (6),1.4000 (6),1.0 (1),0.0 (2),
646188,astaurab,24.5358 (9),0.8829 (8),0.0586 (11),0.0 (2),0.0 (2),
641916,anonymous_wg,24.6922 (6),0.8881 (2),1.8000 (3),1.0 (1),0.0 (2),
653583,JuewenPeng,23.7986 (12),0.8741 (11),-1.0000 (13),-1.0 (3),-1.0 (3),
648211,waiwaibuwai,24.7261 (3),0.8877 (3),-1.0000 (13),-1.0 (3),-1.0 (3),
647046,superduty,24.6964 (5),0.8867 (5),-1.0000 (13),-1.0 (3),-1.0 (3),
646430,Max_zheng,24.8527 (2),0.8875 (4),-1.0000 (13),-1.0 (3),-1.0 (3),
641349,AML-CV,25.0303 (1),0.8895 (1),-1.0000 (13),-1.0 (3),-1.0 (3),
639244,NICO.N,22.7644 (17),0.8264 (17),-1.0000 (13),-1.0 (3),-1.0 (3),
629349,HaoqiangYang,21.4203 (20),0.7227 (22),-1.0000 (13),-1.0 (3),-1.0 (3),
