submission_pk,User,Pearson r,MAE,RMSE
640320,tharindu,0.7450 (1),0.1162 (1),0.1601 (2),
680030,jxnu_hxm,0.7422 (2),0.1189 (2),0.1588 (1),
470415,JXNU_XQY,0.6819 (3),0.1308 (3),0.1747 (3),
529076,LPY-LPY,0.6577 (4),0.1373 (4),0.1824 (4),
713616,chencong,0.6310 (5),0.1447 (5),0.1990 (7),
843558,bicici,0.5827 (6),0.1469 (7),0.1940 (6),
470411,Vicomtech,0.5787 (7),0.1461 (6),0.1938 (5),
470515,mespla,0.5613 (8),0.1664 (11),0.2200 (11),
472211,LisaIan,0.5416 (9),0.1599 (8),0.2017 (8),
470414,carolscarton,0.4625 (10),0.1660 (10),0.2179 (10),
473547,fblain,0.4435 (11),0.1625 (9),0.2164 (9),
481079,is93,0.2542 (12),0.1836 (13),0.2330 (12),
481027,izas,0.2212 (13),0.1814 (12),0.2333 (13),
submission_pk,User,Spearman r
470415,JXNU_XQY,0.6665 (1),
529076,LPY-LPY,0.6166 (2),
713616,chencong,0.5878 (3),
470411,Vicomtech,0.5686 (4),
843558,bicici,0.5511 (5),
470515,mespla,0.5509 (6),
472211,LisaIan,0.4965 (7),
473547,fblain,0.4579 (8),
470414,carolscarton,0.4459 (9),
680030,jxnu_hxm,0.0000 (10),
640320,tharindu,0.0000 (10),
481027,izas,0.0000 (10),
481079,is93,0.0000 (10),
